#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-46298.44981155103,9793.627199436498,-36504.82261211453,172.39701539505677,67.08104456576636,0.9863035565558211,0
1000,2.0000000000000013,-45918.002093827796,10776.139296354593,-35141.8627974732,189.69215535177926,62.80362305765165,1.0534785990285962,48.7
1500,2.999999999999891,-45633.13360328743,11540.031070315916,-34093.10253297152,203.1389263217162,59.89947116122696,1.1045552080854073,48.1
2000,3.999999999999781,-45491.060580518584,12227.249485555185,-33263.8110949634,215.2360177567044,57.223661835675415,1.1562048060239096,48
2500,4.999999999999671,-45213.188633775426,12790.368676769367,-32422.81995700606,225.14859313864144,56.08626009640165,1.179652070203549,47.8
3000,5.999999999999561,-44612.87624024864,12961.277534515899,-31651.59870573274,228.15709819811275,53.95715956531173,1.2262000699389977,47.5
3500,6.999999999999451,-44596.95602636022,13609.508404014301,-30987.447622345917,239.5678926783128,53.52655592756175,1.236064448499792,47.6
4000,7.999999999999341,-44200.15444933394,13885.81891602069,-30314.33553331325,244.43178086010127,53.628195602279405,1.2337217780618885,47.5
4500,8.999999999999675,-44377.38486415299,14284.119377114306,-30093.265487038683,251.44305557218806,52.553137076239395,1.2589595315064177,47.5
5000,10.000000000000009,-44247.14086865283,14639.268859643451,-29607.872009009378,257.6947445083002,52.56599374167545,1.2586516133954493,47.5
5500,11.000000000000343,-43667.82648543457,14671.293787711536,-28996.532697723032,258.2584786493645,52.57871487712203,1.2583470894508935,47.1
6000,12.000000000000677,-43789.180577367544,15113.673228153239,-28675.507349214306,266.0456747158712,52.45915591581465,1.2612149714888803,47.1
6500,13.00000000000101,-43530.50512369174,15132.522577327745,-28397.982546363997,266.37747941638213,51.852245952260276,1.27597699227165,47.1
7000,14.000000000001345,-43195.66147837954,15364.94194510668,-27830.71953327286,270.4687527014628,51.82595046343653,1.2766243984154757,47
7500,15.000000000001679,-43002.001653375664,15492.653570367627,-27509.348083008037,272.7168577781504,52.32040526183124,1.264559639811536,46.9
