#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-46219.94262434453,9536.746360462874,-36683.196263881655,167.87514734255637,65.90298889253759,1.003934327479139,0
1000,2.0000000000000013,-46146.85294592846,10527.93828142119,-35618.914664507276,185.32307806088497,59.86783342693081,1.1051389209440243,5.08
1500,2.999999999999891,-45765.313029838515,11250.884848351381,-34514.428181487136,198.04909140515835,57.27899023391715,1.1550879748839848,46.8
2000,3.999999999999781,-45385.162741427295,11915.138080812769,-33470.02466061452,209.7419272065304,55.772748288461656,1.1862831734684778,46.3
2500,4.999999999999671,-45355.064894588315,12741.343272695756,-32613.72162189256,224.28559997291083,53.45049594288087,1.2378233665670437,46.2
3000,5.999999999999561,-44813.83712359089,12954.763475465465,-31859.073648125428,228.04243135246574,53.212723779588785,1.2433543734153536,46.1
3500,6.999999999999451,-44676.11148687375,13544.845128280822,-31131.266358592926,238.42962638380232,52.08095248527146,1.2703737100700232,46.1
4000,7.999999999999341,-44542.424261666565,14033.599797492734,-30508.82446417383,247.0331646354299,51.968845136035036,1.2731141640632337,46
4500,8.999999999999675,-44453.1299259064,14415.69479068237,-30037.435135224034,253.75917483388605,52.21946980987083,1.2670039177645676,45.8
5000,10.000000000000009,-44204.85497532894,14691.87658810892,-29512.97838722002,258.6207972556094,52.48060850925425,1.2606994223595571,45.7
5500,11.000000000000343,-43627.15898757852,14795.631096267702,-28831.52789131082,260.44718569945223,51.982288638187114,1.2727849151314767,45.7
6000,12.000000000000677,-43560.68037030811,15129.546069126267,-28431.134301181843,266.3250840045715,52.377628007549404,1.2631781038873822,45.6
6500,13.00000000000101,-43498.58488591092,15225.560003263929,-28273.02488264699,268.01521528531117,52.13721859934386,1.2690027318321033,45.5
7000,14.000000000001345,-43681.88271082653,15792.996973838173,-27888.88573698836,278.00379644729793,51.69572866838825,1.279840221560759,45.5
7500,15.000000000001679,-42886.007518503844,15189.691306044751,-27696.316212459093,267.3838193560225,52.35477091945016,1.2637295832024193,45.4
8000,16.00000000000201,-43087.84525812324,15636.554281083067,-27451.290977040175,275.2499389885519,52.21672981092109,1.2670704020008756,45.4
8500,17.000000000001457,-43028.828399017846,15565.983064712778,-27462.845334305068,274.0076753381919,51.91650798898009,1.2743975932807086,45.4
9000,18.000000000000902,-43082.36189897699,15867.246697925002,-27215.115201051987,279.31081279229545,51.85459455353055,1.2759192006485411,45.5
9500,19.000000000000348,-43209.69867585351,15966.762120359683,-27242.93655549383,281.0625806985217,51.61576388861084,1.2818229906560346,45.5
10000,19.999999999999794,-43243.527502717596,16005.348403598451,-27238.179099119145,281.7418142378517,51.52662012767064,1.284040611799505,45.5
10500,20.99999999999924,-43061.18743940936,15917.169029993609,-27144.018409415752,280.18959456282107,51.610864495416656,1.2819446734625128,45.5
11000,21.999999999998685,-42928.48519414056,15962.176417355635,-26966.30877678492,280.9818586641531,51.71340321948609,1.2794027991521615,45.5
11500,22.99999999999813,-42527.727604462336,15811.663992394482,-26716.063612067854,278.33239158573826,51.66408910792072,1.280624007412364,45.5
12000,23.999999999997577,-42672.66766755721,16208.7923455433,-26463.87532201391,285.3230337061111,51.81239080931138,1.2769584996800545,45.5
12500,24.999999999997023,-42757.040824091775,16172.4975379641,-26584.543286127675,284.6841369650394,52.0237099465728,1.27177152303521,45.5
13000,25.99999999999647,-42647.217509548784,16319.5347633705,-26327.68274617828,287.27243017814965,51.80849686561541,1.277054476301664,45.5
13500,26.999999999995914,-42492.50818370472,16466.87321624058,-26025.63496746414,289.8660258920225,51.895303678403785,1.2749183094236003,45.5
14000,27.99999999999536,-42610.34966413811,16554.185697079665,-26056.163967058448,291.4029856717721,51.832563687058865,1.2764615162034474,45.6
14500,28.999999999994806,-42868.67779809013,16495.886927769774,-26372.790870320357,290.3767536511365,51.568949031378175,1.2829866436183743,45.6
15000,29.99999999999425,-42700.931916148205,16492.90208961437,-26208.029826533835,290.32421160732065,51.87452478700969,1.2754289914818286,45.6
15500,30.999999999993697,-42711.39621248429,16567.829105859917,-26143.56710662437,291.64315031206655,51.96567319131722,1.2731918739724852,45.6
16000,31.999999999993143,-42863.220843481286,16659.986382802912,-26203.234460678374,293.26539293661955,51.77797289996905,1.2778073208952228,45.7
16500,32.999999999994365,-43032.753192912474,16667.11953179552,-26365.633661116954,293.3909576096107,51.65763674843742,1.2807839653000817,45.7
17000,33.99999999999559,-42547.198982538655,16427.66438815845,-26119.534594380206,289.1758337087948,51.68998301127928,1.2799824836130747,45.7
17500,34.99999999999681,-42498.85313660361,16365.736061370195,-26133.117075233415,288.0857106635435,51.36986213920175,1.2879589330687469,45.7
18000,35.99999999999803,-42502.89338748322,16456.090678320274,-26046.80270916295,289.6762211018267,51.6647478181068,1.2806076798367183,45.8
18500,36.999999999999254,-42817.55815063246,16649.983174842142,-26167.574975790318,293.0893066754525,51.37895546778077,1.2877309830517008,45.8
19000,38.000000000000476,-42610.193800643,16487.40147628684,-26122.79232435616,290.2273844256036,51.872594108008,1.2754764624829293,45.7
19500,39.0000000000017,-42593.96351101476,16673.933952034913,-25920.029558979844,293.51091170700437,51.62029137465747,1.2817105651824485,45.7
20000,40.00000000000292,-42489.84880630408,16698.24266829382,-25791.60613801026,293.93881753247445,51.57297608055637,1.2828864622695078,45.6
20500,41.00000000000414,-42683.960245708135,16762.967337043796,-25920.99290866434,295.07816452697426,51.748439469049586,1.278536580262795,45.6
21000,42.000000000005365,-42446.06364535825,16483.598461094192,-25962.465184264056,290.1604400284601,52.10387059314426,1.2698149308201379,45.6
21500,43.00000000000659,-42751.467220028884,16762.36099030586,-25989.106229723024,295.0674910179887,51.87538124527086,1.2754079342544875,45.6
22000,44.00000000000781,-42465.181419066685,16597.977176847646,-25867.20424221904,292.1738461770778,51.617644707264475,1.281776284212818,45.6
22500,45.00000000000903,-42665.27265259113,16672.05847214855,-25993.214180442577,293.47789767366845,51.70418311256544,1.2796309476286027,45.5
23000,46.00000000001025,-42723.5091168881,16578.92883310404,-26144.580283784057,291.83853857931615,51.83571445383197,1.2763839281432696,45.5
23500,47.000000000011475,-42659.101215559895,16306.497894017692,-26352.603321542203,287.0429424387502,51.61416149465177,1.2818627856533251,45.5
24000,48.0000000000127,-42628.36211410703,16250.247764584965,-26378.114349522068,286.0527725831582,52.19048507830904,1.267707566492665,45.5
24500,49.00000000001392,-42591.52670874645,16285.623248519993,-26305.90346022646,286.6754864892895,51.869527583595655,1.2755518686007752,45.4
25000,50.00000000001514,-42569.28194171654,16469.696412246827,-26099.58552946971,289.91572255245694,51.495756626690365,1.2848101895526445,45.4
25500,51.000000000016364,-42452.86783363008,16607.155323779494,-25845.712509850586,292.33540890615524,51.90628407831307,1.2746486096533756,45.4
26000,52.000000000017586,-42664.928642400126,16828.76234717107,-25836.166295229057,296.2363527184221,51.70098045982768,1.2797102152463788,45.4
26500,53.00000000001881,-42389.114814338514,16342.423148168322,-26046.69166617019,287.67533393852403,51.562493192754594,1.2831472788827796,45.4
27000,54.00000000002003,-42533.98256801159,16429.393758488102,-26104.588809523488,289.20627577865037,51.99171875972648,1.2725540607429415,45.3
27500,55.00000000002125,-42957.80544063077,16707.23084227102,-26250.57459835975,294.09703617159215,51.2054330746644,1.2920947809624306,45.3
28000,56.000000000022474,-42666.88525531068,16418.369525831316,-26248.51572947936,289.01221644104766,51.38132241703687,1.2876716620037205,45.3
28500,57.0000000000237,-42784.10396019665,16703.54737638738,-26080.556583809266,294.03219619844253,51.63759274484754,1.2812811232238677,45.3
29000,58.00000000002492,-42859.89702989972,16614.190434759574,-26245.70659514015,292.45924781805587,51.493995724868626,1.2848541252498367,45.3
29500,59.00000000002614,-42734.34082246577,16611.480374421146,-26122.860448044623,292.41154268242315,51.90062334817401,1.274787633837208,45.3
30000,60.00000000002736,-42769.65663503592,17030.788582005116,-25738.868053030805,299.7926163179692,51.70811118175078,1.2795337389164854,45.3
30500,61.000000000028585,-42419.64915215574,16489.98298072967,-25929.66617142607,290.2728265944865,51.688221157827556,1.2800261133125768,45.3
31000,62.00000000002981,-42463.77975148522,16549.27498211744,-25914.50476936778,291.31654245868026,52.404368854183375,1.2625335306831627,45.3
31500,63.00000000003103,-42461.382619601914,16464.152549217517,-25997.230070384398,289.81813404714126,51.41318776142562,1.286873576867281,45.3
32000,64.00000000003224,-42603.50960281409,16471.301405692415,-26132.208197121676,289.9439752186156,52.025723288118314,1.2717223067959749,45.2
32500,65.00000000002991,-42509.88411289252,16508.623643760315,-26001.260469132205,290.6009577971581,51.698614718396676,1.2797687751032023,45.3
33000,66.00000000002758,-42382.699967452914,16431.366749114626,-25951.333218338288,289.24100629151235,51.97078260601886,1.2730667023865925,45.3
33500,67.00000000002525,-42436.859447987394,16598.872987437688,-25837.986460549706,292.1896151122167,52.141005312308714,1.2689105711791147,45.3
34000,68.00000000002292,-42216.33790540219,16479.81753780244,-25736.520367599755,290.09388451458744,52.099642208827355,1.2699179884480067,45.3
34500,69.00000000002059,-42206.53448056699,16324.768022935556,-25881.766457631435,287.3645511371601,51.99125748631035,1.2725653510134058,45.3
35000,70.00000000001826,-41989.81150810405,16287.317427014475,-25702.49408108958,286.70530907800435,52.31227442950913,1.2647561887573568,45.3
35500,71.00000000001593,-42404.44615692943,16372.147593753638,-26032.29856317579,288.1985727344092,51.597714446886435,1.2822713862801212,45.3
36000,72.0000000000136,-42665.1976966111,16785.445041940282,-25879.75265467082,295.4738390976081,51.877429680993345,1.2753575734099096,45.3
36500,73.00000000001127,-42384.8046718227,16429.177683126585,-25955.626988696113,289.20247220856675,51.86147088621747,1.2757500260232297,45.3
37000,74.00000000000894,-42693.17253173125,16799.896499099388,-25893.276032631864,295.72822779666774,52.06253918670857,1.2708230114443968,45.3
37500,75.00000000000661,-42301.718162168516,16415.83968930975,-25885.878472858767,288.96768378150546,52.43522333583931,1.2617906175193725,45.2
38000,76.00000000000428,-42499.91916973663,16417.228288114522,-26082.69088162211,288.99212725731365,52.31942465771028,1.26458334099713,45.2
38500,77.00000000000195,-42902.95151065415,16719.171607911027,-26183.779902743125,294.3072292201888,51.68023129234822,1.2802240078691538,45.2
39000,77.99999999999962,-42629.81357042308,16444.98660115331,-26184.826969269772,289.48075626297606,52.15448957872405,1.2685825010870242,45.2
39500,78.99999999999729,-42655.462012609736,16502.30721819876,-26153.154794410977,290.48976988969514,52.0642315974298,1.2707817018077543,45.2
40000,79.99999999999496,-42650.559964361695,16508.616180137073,-26141.943784224623,290.6008264151538,51.684597470424606,1.2801158579314627,45.2
40500,80.99999999999262,-42654.482581733464,16468.69365257715,-26185.788929156315,289.89807099489906,52.04349910594154,1.2712879412280236,45.2
41000,81.9999999999903,-42721.6723898614,16415.472541056453,-26306.199848804947,288.9612208784577,51.50669701025633,1.2845372868603915,45.2
41500,82.99999999998796,-42820.82671395133,16612.928197562374,-26207.898516388952,292.4370286829911,51.90365481777344,1.2747131789655564,45.2
42000,83.99999999998563,-42788.76238238486,16532.5039176111,-26256.258464773764,291.02132175985093,51.81335764875252,1.2769346715805407,45.2
42500,84.9999999999833,-42979.72118342728,16547.198622296095,-26432.522561131187,291.2799923400371,51.857969733037955,1.275836157360088,45.2
43000,85.99999999998097,-42867.438795334296,16502.838547923733,-26364.600247410563,290.4991228757657,51.49858597255482,1.2847396017427508,45.2
43500,86.99999999997864,-43184.414565678315,16892.25860164232,-26292.155964035996,297.35407596198587,51.764663660278714,1.278135858602402,45.2
44000,87.99999999997631,-43090.84659504625,16754.224393442033,-26336.622201604216,294.9242626730424,51.94267243861435,1.2737556565054526,45.2
44500,88.99999999997398,-42942.86326723414,16603.12938609248,-26339.73388114166,292.26454040899137,51.84490922758734,1.2761575595061339,45.2
45000,89.99999999997165,-42733.39638065521,16444.94571521721,-26288.450665438002,289.48003654869535,51.382006494831494,1.2876545185005601,45.2
45500,90.99999999996932,-43190.494918309785,16723.13867652543,-26467.356241784357,294.377061446295,51.38436946928657,1.2875953040980948,45.2
