#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-42625.39552361191,17000.726310327496,-25624.66921328441,299.26343077642485,51.90028893619186,1.2747958477463823,0
1000,2.0000000000000013,-42448.11076028483,16948.4969199228,-25499.613840362028,298.34403790611105,51.90028893619186,1.2747958477463823,34.8
1500,2.999999999999891,-42984.67090383681,17615.491723719057,-25369.179180117757,310.0851335305292,51.90028893619186,1.2747958477463823,34.7
2000,3.999999999999781,-42918.340012205714,17278.02013097013,-25640.319881235584,304.14462811963523,51.90028893619186,1.2747958477463823,34.8
2500,4.999999999999671,-42528.353761320104,17058.204157952998,-25470.149603367106,300.27521212976643,51.90028893619186,1.2747958477463823,34.8
3000,5.999999999999561,-42539.727679989584,16794.64440073332,-25745.083279256265,295.63577521863584,51.90028893619186,1.2747958477463823,34.7
3500,6.999999999999451,-42814.52242940072,17269.72238708345,-25544.80004231727,303.9985631070055,51.90028893619186,1.2747958477463823,34.8
4000,7.999999999999341,-42351.55599519994,16868.37029266118,-25483.185702538758,296.9335705570609,51.90028893619186,1.2747958477463823,34.8
4500,8.999999999999675,-42626.3180314185,17246.007900604713,-25380.31013081379,303.58111749596617,51.90028893619186,1.2747958477463823,34.8
5000,10.000000000000009,-42369.59462726811,16732.402160716778,-25637.192466551332,294.54012636537215,51.90028893619186,1.2747958477463823,34.8
5500,11.000000000000343,-42658.093437232616,16844.67463413797,-25813.418803094646,296.51645637413003,51.90028893619186,1.2747958477463823,34.8
6000,12.000000000000677,-43044.03800956492,16929.700389976846,-26114.337619588077,298.01316298137914,51.90028893619186,1.2747958477463823,34.8
6500,13.00000000000101,-43112.73325963038,16739.805880964086,-26372.927378666296,294.6704538985183,51.90028893619186,1.2747958477463823,34.8
7000,14.000000000001345,-43162.33476856038,16885.72849113311,-26276.60627742727,297.2391265628447,51.90028893619186,1.2747958477463823,34.8
7500,15.000000000001679,-42819.21466142999,16691.660343661133,-26127.55431776886,293.8229490092064,51.90028893619186,1.2747958477463823,34.8
8000,16.00000000000201,-42806.7538896079,16893.569574421075,-25913.184315186823,297.37715298847655,51.90028893619186,1.2747958477463823,34.8
8500,17.000000000001457,-42519.70677038678,16550.775569412195,-25968.931200974584,291.3429572655427,51.90028893619186,1.2747958477463823,34.8
9000,18.000000000000902,-42684.350036311786,16908.358851033307,-25775.99118527848,297.637488316326,51.90028893619186,1.2747958477463823,34.8
9500,19.000000000000348,-42545.93018838208,16719.797493291742,-25826.13269509034,294.3182466674959,51.90028893619186,1.2747958477463823,34.8
10000,19.999999999999794,-42986.05105178874,16890.339688802684,-26095.711362986054,297.320297379279,51.90028893619186,1.2747958477463823,34.8
10500,20.99999999999924,-42856.29927305563,16806.234157946918,-26050.06511510871,295.83978947322095,51.90028893619186,1.2747958477463823,34.8
11000,21.999999999998685,-43104.46504690814,17028.353344580988,-26076.11170232715,299.74974888436685,51.90028893619186,1.2747958477463823,34.8
11500,22.99999999999813,-42683.72861031804,16683.172854997145,-26000.555755320893,293.67354392321795,51.90028893619186,1.2747958477463823,34.8
12000,23.999999999997577,-42629.35569412153,16536.857147153692,-26092.498546967836,291.0979515687246,51.90028893619186,1.2747958477463823,34.8
12500,24.999999999997023,-42707.440924804134,16521.432173860034,-26186.0087509441,290.82642608544626,51.90028893619186,1.2747958477463823,34.8
13000,25.99999999999647,-42681.71743052974,16204.108931028888,-26477.60849950085,285.24059165806295,51.90028893619186,1.2747958477463823,34.8
13500,26.999999999995914,-43070.74458908713,16849.730211399758,-26221.014377687374,296.6054495952608,51.90028893619186,1.2747958477463823,34.8
14000,27.99999999999536,-42855.64034358349,16633.909683913385,-26221.730659670102,292.80636534976514,51.90028893619186,1.2747958477463823,34.8
14500,28.999999999994806,-43143.47059105804,16810.40577194449,-26333.064819113548,295.91322230744225,51.90028893619186,1.2747958477463823,34.8
15000,29.99999999999425,-42817.04682942308,16467.524376815265,-26349.522452607816,289.877488258042,51.90028893619186,1.2747958477463823,34.8
15500,30.999999999993697,-42931.60973525205,16640.219558083692,-26291.39017716836,292.91743793322445,51.90028893619186,1.2747958477463823,34.8
16000,31.999999999993143,-43070.181343659206,16572.785434115824,-26497.395909543382,291.7303964550161,51.90028893619186,1.2747958477463823,34.8
16500,32.999999999994365,-42784.92999019155,16520.364696816712,-26264.56529337484,290.8076353093095,51.90028893619186,1.2747958477463823,34.8
17000,33.99999999999559,-42747.42502684122,16483.47865764101,-26263.94636920021,290.15833113077167,51.90028893619186,1.2747958477463823,34.8
17500,34.99999999999681,-42579.33295419668,16332.95200411076,-26246.38095008592,287.5086135871516,51.90028893619186,1.2747958477463823,34.8
18000,35.99999999999803,-42860.58711782114,16773.170472360747,-26087.41664546039,295.2577701052237,51.90028893619186,1.2747958477463823,34.8
18500,36.999999999999254,-42843.22706260094,16766.11336197982,-26077.11370062112,295.1335439383286,51.90028893619186,1.2747958477463823,34.8
19000,38.000000000000476,-42951.8721865628,16645.600067998213,-26306.27211856459,293.0121509370664,51.90028893619186,1.2747958477463823,34.8
19500,39.0000000000017,-42860.27025616665,16459.968796126075,-26400.301460040577,289.74448752870364,51.90028893619186,1.2747958477463823,34.8
20000,40.00000000000292,-43058.158437546495,16790.018825522897,-26268.1396120236,295.55435131464975,51.90028893619186,1.2747958477463823,34.8
20500,41.00000000000414,-42804.627713296875,16581.11297727261,-26223.514736024266,291.87698602357614,51.90028893619186,1.2747958477463823,34.8
21000,42.000000000005365,-42804.42002632527,16739.702304133414,-26064.717722191857,294.6686306377276,51.90028893619186,1.2747958477463823,34.8
21500,43.00000000000659,-42684.746595472,16734.787758436192,-25949.95883703581,294.5821199922874,51.90028893619186,1.2747958477463823,34.8
22000,44.00000000000781,-42420.11551674963,16524.44167760328,-25895.67383914635,290.87940231709064,51.90028893619186,1.2747958477463823,34.8
22500,45.00000000000903,-42637.26566529518,16735.37998187691,-25901.885683418266,294.5925448891665,51.90028893619186,1.2747958477463823,34.8
23000,46.00000000001025,-42629.65973232778,16546.01559689561,-26083.644135432172,291.2591675685784,51.90028893619186,1.2747958477463823,34.8
23500,47.000000000011475,-42692.4011345481,16693.25147703349,-25999.14965751461,293.8509576967849,51.90028893619186,1.2747958477463823,34.8
24000,48.0000000000127,-42878.15723596028,16761.609907671205,-26116.547328289074,295.0542697260309,51.90028893619186,1.2747958477463823,34.8
24500,49.00000000001392,-43003.654431674324,16812.33590138436,-26191.318530289966,295.9471983357291,51.90028893619186,1.2747958477463823,34.8
25000,50.00000000001514,-42917.083680478325,16532.460140497315,-26384.62353998101,291.02055115222976,51.90028893619186,1.2747958477463823,34.8
25500,51.000000000016364,-43009.48632817126,16760.137243974288,-26249.349084196972,295.028346457679,51.90028893619186,1.2747958477463823,34.8
26000,52.000000000017586,-42838.983595403006,16608.70979631804,-26230.273799084967,292.36277225384055,51.90028893619186,1.2747958477463823,34.8
26500,53.00000000001881,-42738.41962523603,16514.314848638114,-26224.104776597913,290.70113995796066,51.90028893619186,1.2747958477463823,34.8
27000,54.00000000002003,-42902.728501102174,16683.807464666144,-26218.92103643603,293.6847149439897,51.90028893619186,1.2747958477463823,34.8
27500,55.00000000002125,-42817.33410105099,16655.10657831969,-26162.2275227313,293.1794938400451,51.90028893619186,1.2747958477463823,34.8
28000,56.000000000022474,-42951.71123216742,16792.515395785533,-26159.19583638189,295.59829838892955,51.90028893619186,1.2747958477463823,34.8
28500,57.0000000000237,-42635.69701100985,16467.817944281946,-26167.879066727903,289.8826559200371,51.90028893619186,1.2747958477463823,34.8
29000,58.00000000002492,-43012.3849953583,16835.577603731206,-26176.80739162709,296.35632153755245,51.90028893619186,1.2747958477463823,34.8
29500,59.00000000002614,-42946.17211854945,16689.911935713448,-26256.260182836006,293.7921718205575,51.90028893619186,1.2747958477463823,34.8
30000,60.00000000002736,-42952.95448989881,16738.478295772988,-26214.476194125822,294.6470844440795,51.90028893619186,1.2747958477463823,34.8
30500,61.000000000028585,-42878.055977720884,16838.062477939147,-26039.993499781736,296.40006272642535,51.90028893619186,1.2747958477463823,34.8
31000,62.00000000002981,-42703.65499643098,16767.05313841116,-25936.60185801982,295.1500868032552,51.90028893619186,1.2747958477463823,34.8
31500,63.00000000003103,-42723.610727227126,16801.414743888825,-25922.1959833383,295.7549534280409,51.90028893619186,1.2747958477463823,34.8
32000,64.00000000003224,-42628.07711435288,16791.19576670488,-25836.881347647995,295.57506898573706,51.90028893619186,1.2747958477463823,34.8
32500,65.00000000002991,-42851.90318477488,16779.65149548591,-26072.25168928897,295.3718554201669,51.90028893619186,1.2747958477463823,34.8
33000,66.00000000002758,-42602.366566693985,16713.334387217765,-25889.03217947622,294.2044767460311,51.90028893619186,1.2747958477463823,34.8
33500,67.00000000002525,-42590.47578876112,16662.514281414966,-25927.961507346154,293.30989148318105,51.90028893619186,1.2747958477463823,34.7
34000,68.00000000002292,-42837.03378543072,16814.205022104543,-26022.82876332618,295.98010042879554,51.90028893619186,1.2747958477463823,34.8
