#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
50	0.02	0.0034144818429009635	379.985807990625
100	0.02	0.004129409020770547	459.54756694448884
150	0.02	0.0065760736950200745	731.8283685131828
200	0.02	0.0060695140478067965	675.4551072987531
250	0.02	0.005321244832996965	592.1828290246198
300	0.02	0.0030129750440719186	335.30351287636483
350	0.02	0.003335811606907064	371.2308710589478
400	0.02	-0.0010205952911111773	-113.57850009675867
450	0.02	0.0002934086892154881	32.65243248395602
500	0.02	0.0014803903573280116	164.74749374941416
550	0.02	0.0012448446249857463	138.5344284760091
600	0.02	0.0028091938035391087	312.6254074126662
650	0.02	0.004608981758926588	512.9175489162409
700	0.02	-0.0012910390526472753	-143.67524565625726
750	0.02	-0.002283364500559523	-254.1076932320317
800	0.02	-0.0046782849850689695	-520.6300639020276
850	0.02	-0.0029939093729186212	-333.1817606482393
900	0.02	0.001737377504038331	193.3466994499666
950	0.02	0.006608336497472366	735.4187835810983
1000	0.02	0.007885694607183061	877.57152468322
1050	0.02	0.010056602922608859	1119.1643602186366
1100	0.02	0.013132154478885969	1461.4317954836831
1150	0.02	0.011026582430985279	1227.110005907476
1200	0.02	0.014228035350479817	1583.3885659728376
1250	0.02	0.014094246074369283	1568.4996227825143
1300	0.02	0.01788137514123832	1989.956044180961
1350	0.02	0.01991872665827594	2216.685808163167
1400	0.02	0.0185538403643117	2064.7923598774114
1450	0.02	0.019681564384199737	2190.2928435828744
1500	0.02	0.01869847996241716	2080.888797662785
1550	0.02	0.01705925997104915	1898.4657063848542
1600	0.02	0.013381755245648108	1489.2089966512285
1650	0.02	0.014046425331671906	1563.1778186586025
1700	0.02	0.011744308883808877	1306.9832864344885
1750	0.02	0.013631045903823778	1516.9516869128101
1800	0.02	0.010955827475347785	1219.2359329956075
1850	0.02	0.013718350103458963	1526.6674676273344
1900	0.02	0.014281361981275276	1589.3231012325168
1950	0.02	0.021091300842013883	2347.177510604923
2000	0.02	0.022576100279152515	2512.4156755107288
2050	0.02	0.021666300418107035	2411.1672134555297
2100	0.02	0.021123715683941384	2350.784845617209
2150	0.02	0.02450907235728497	2727.5294147914274
2200	0.02	0.02457445235978403	2734.8053278637694
2250	0.02	0.024802843507358806	2760.2221842835925
2300	0.02	0.025646831758445614	2854.146701173494
2350	0.02	0.024975185452274618	2779.4015198907405
2400	0.02	0.02586070780036329	2877.948221971413
2450	0.02	0.027695092958663292	3082.0905658505735
2500	0.02	0.025001882529411747	2782.3725447471274
2550	0.02	0.025325009760159296	2818.332250350675
2600	0.02	0.024974966130334796	2779.3771123149068
2650	0.02	0.024095658497416354	2681.522024269406
2700	0.02	0.024107784122036253	2682.8714428578114
2750	0.02	0.024613759718212877	2739.1797070638277
2800	0.02	0.022576731027671392	2512.4858693195147
2850	0.02	0.019033702587878624	2118.1945576736484
2900	0.02	0.021355892905685264	2376.6230410625276
2950	0.02	0.020533578281861597	2285.1105067651806
3000	0.02	0.022881391124452477	2546.3904318166187
3050	0.02	0.020521082852573154	2283.7199339014733
3100	0.02	0.021282292584934345	2368.4323173639805
3150	0.02	0.016452461695674787	1830.937236893991
3200	0.02	0.015676340408824103	1744.5653983979573
3250	0.02	0.013720478416958665	1526.904320233982
3300	0.02	0.012562160108633202	1397.9991045818654
3350	0.02	0.009149439761687122	1018.2093273491957
3400	0.02	0.005904549550950707	657.0967822258128
3450	0.02	0.00037967656728134485	42.25288457558018
3500	0.02	-0.0020296400696596805	-225.87158382559645
3550	0.02	-0.004559626862121518	-507.42501411780285
3600	0.02	-0.0044335236451942305	-493.39142572020836
3650	0.02	-0.005728704623702429	-637.5276118990142
3700	0.02	-0.0057138699160525835	-635.8767088829825
3750	0.02	-0.008419251644972038	-936.94923159206
3800	0.02	-0.01087368576086824	-1210.0946672978148
3850	0.02	-0.01056531330804261	-1175.7769696088906
3900	0.02	-0.010668610478150934	-1187.2725523803624
3950	0.02	-0.011211463061117564	-1247.684728180108
4000	0.02	-0.010194968932922186	-1134.562632239518
4050	0.02	-0.01060930808294251	-1180.6729950841645
4100	0.02	-0.007272411526752835	-809.3213837932431
4150	0.02	-0.007622719528833071	-848.305942897809
4200	0.02	-0.01019475971531888	-1134.53934914015
4250	0.02	-0.008084751787163377	-899.7239058793353
4300	0.02	-0.008697257801429948	-967.8875697787629
4350	0.02	-0.01280142247445679	-1424.6257810681523
4400	0.02	-0.012471013840476637	-1387.8557534251415
4450	0.02	-0.015288948010784842	-1701.4538458546558
4500	0.02	-0.015379797816767704	-1711.564204767228
4550	0.02	-0.018821594814141775	-2094.5898212911543
4600	0.02	-0.018723284722980776	-2083.649233189591
4650	0.02	-0.01953529681429212	-2174.0152344780768
4700	0.02	-0.01994591146964203	-2219.7111112654507
4750	0.02	-0.018478003487499884	-2056.352737634073
4800	0.02	-0.014970158139922212	-1665.9768299464247
4850	0.02	-0.014172463039492308	-1577.2041167755465
4900	0.02	-0.011831820869135666	-1316.7221908959082
4950	0.02	-0.010831643539358405	-1205.4159346979188
5000	0.02	-0.0085279851001481	-949.0497996201462
5050	0.02	-0.007080271123606714	-787.9387466329609
5100	0.02	-0.00759026554522027	-844.6942519435095
5150	0.02	-0.004176311648026212	-464.7671971942971
5200	0.02	-0.002650580595990076	-294.97389523555137
5250	0.02	-0.0013583433098510865	-151.16530234171634
5300	0.02	0.004881455675448022	543.2402233627397
5350	0.02	0.006398693077065377	712.088296509131
5400	0.02	0.007390773493258348	822.4934753571405
5450	0.02	0.007282816321517505	810.4792972124782
5500	0.02	0.00882657808204763	982.279174004819
5550	0.02	0.005675511676672775	631.6079538406506
5600	0.02	0.004873747125523318	542.3823656536221
5650	0.02	0.003969834978860124	441.7891268532844
5700	0.02	0.006250523289592244	695.598996227791
5750	0.02	0.009086003838718815	1011.1497641259035
5800	0.02	0.012585866371140883	1400.6372920808408
5850	0.02	0.011690175896187456	1300.9590145283314
5900	0.02	0.010013970495561122	1114.4199456972894
5950	0.02	0.007119640058612229	792.3199784760598
6000	0.02	0.006185403878972304	688.3520835192821
6050	0.02	0.006298902363858051	700.9829351299561
6100	0.02	0.0019941537948239144	221.92243972805767
6150	0.02	0.003924880619241466	436.78631253230265
6200	0.02	0.006376667363739907	709.6371314833309
6250	0.02	0.007460234632036283	830.2235638908835
6300	0.02	0.011764369766036174	1309.2157922414806
6350	0.02	0.0089348570331726	994.3291618579223
6400	0.02	0.008382987161207986	932.9134833296711
6450	0.02	0.0097725623746507	1087.5544755907886
6500	0.02	0.005918131908462772	658.6083155509555
6550	0.02	0.007883698578876894	877.3493936356448
6600	0.02	0.010404299830537676	1157.8583397370408
6650	0.02	0.009281969091191214	1032.9580554640545
6700	0.02	0.011220803183089	1248.7241578673463
6750	0.02	0.017657766926502286	1965.0714637206875
6800	0.02	0.016148359623832098	1797.0947750513496
6850	0.02	0.01868267332756839	2079.1297322493574
6900	0.02	0.01726581321724016	1921.4522987166195
6950	0.02	0.013903706000717242	1547.295080725337
7000	0.02	0.015282603671569866	1700.747806410404
7050	0.02	0.01697884233719677	1889.5163076233348
7100	0.02	0.014575520503344522	1622.0589800066869
7150	0.02	0.015010706119143239	1670.4892735192975
7200	0.02	0.012704908516894247	1413.8850784274211
7250	0.02	0.011938655602814728	1328.611456812757
7300	0.02	0.01115732603834342	1241.6600072158396
7350	0.02	0.008397019850913616	934.4751325582831
7400	0.02	0.009259976811967828	1030.5106112031842
7450	0.02	0.008912459866416199	991.8366590717891
7500	0.02	0.011542467371692488	1284.521046599459
7550	0.02	0.011520907984604603	1282.1217773986564
7600	0.02	0.011802098315303716	1313.4144712614168
7650	0.02	0.015166457392332291	1687.8222909759163
7700	0.02	0.016611543425988504	1848.6408893399641
7750	0.02	0.01405374397080928	1563.9922845523918
7800	0.02	0.015255258159237787	1697.7046194565692
7850	0.02	0.014640925148437222	1629.337635467562
7900	0.02	0.008859439604068861	985.9362184910856
7950	0.02	0.011246686409625202	1251.6046121211045
8000	0.02	0.010078389084843596	1121.5888664367596
8050	0.02	0.0063788066850640765	709.8752091124759
8100	0.02	0.0026841893652087357	298.71409826333286
8150	0.02	-0.0006642194702430107	-73.91867454446908
8200	0.02	-0.003775401449562055	-420.1512956595401
8250	0.02	0.0007260915327377623	80.80420117510418
8300	0.02	-0.0013207706986167944	-146.98397712311444
8350	0.02	-0.003240846354066329	-360.6625183799766
8400	0.02	-0.00445124164705894	-495.3632005206919
8450	0.02	-0.008296214867252199	-923.2568965481238
