#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-55952.866378761624,8826.310071563868,-47126.55630719775,165.89484273235166,62.668204223679545,1.0114010600850483,0
1000,2.0000000000000013,-55699.544479705975,9761.647973278668,-45937.89650642731,183.4749790348928,58.18314598340746,1.0893650921442288,62.8
1500,2.999999999999891,-55607.74369038322,10882.045873082492,-44725.69781730073,204.53340910120474,54.91808615410978,1.1541314095977937,62.7
2000,3.999999999999781,-55014.733065982655,11270.24336291397,-43744.489703068684,211.82977202099013,52.64843730672988,1.2038854603829576,62.2
2500,4.999999999999671,-55039.2593701247,12112.793210454554,-42926.46615967015,227.66591116845,51.430631172637405,1.2323918011563744,61.4
3000,5.999999999999561,-54568.04569762272,12369.418558171543,-42198.62713945118,232.48931090803129,50.65608141934927,1.2512355162404112,60.9
3500,6.999999999999451,-54476.126371871556,12889.792427040727,-41586.333944830825,242.269993938441,49.703444025450544,1.2752172294740947,60.6
4000,7.999999999999341,-54344.14471151488,13330.262855009963,-41013.881856504915,250.54885246298193,48.45858533936444,1.3079764450731508,60.2
4500,8.999999999999675,-54249.09249284703,13650.991826636015,-40598.100666211016,256.57711137029503,48.39468935917629,1.3097033791257835,59.9
5000,10.000000000000009,-53941.87937602634,13775.667651619737,-40166.2117244066,258.9204548751688,48.257125736965506,1.3134368700476482,59.8
5500,11.000000000000343,-53739.17688946156,13911.34189090538,-39827.83499855618,261.47051899104855,48.0499034247621,1.3191012607278638,59.6
6000,12.000000000000677,-54015.73198822936,14278.753162627167,-39736.97882560219,268.37619470900796,47.657963163309034,1.329949581946316,59.5
6500,13.00000000000101,-53872.240095239154,14377.232605531237,-39495.00748970792,270.22716431697296,48.15348606745077,1.3162637508045167,59.3
7000,14.000000000001345,-53494.99385012903,14302.517210994345,-39192.476639134686,268.8228516964232,48.38212839876109,1.3100434041070175,59.2
7500,15.000000000001679,-53833.171177666605,14715.865827847512,-39117.30534981909,276.591942429754,47.706158274347075,1.3286060013668806,59.2
8000,16.00000000000201,-53575.24084614106,14783.647321867693,-38791.59352427337,277.8659289767334,47.67381166941972,1.329507458412697,59.1
8500,17.000000000001457,-53477.23953510484,14819.365037687026,-38657.87449741781,278.5372610283568,48.400894658382924,1.3095354669126567,59.1
9000,18.000000000000902,-52961.606459628514,14693.672310337177,-38267.93414929134,276.1748043429201,48.636581206047005,1.3031896283362818,59
9500,19.000000000000348,-53440.5584760973,15018.72892349116,-38421.82955260614,282.2844034031236,47.692885022986275,1.3289757613721123,58.9
10000,19.999999999999794,-53167.757248830654,14926.168173342654,-38241.589075488,280.5446785391007,48.10663901644455,1.3175455504964575,58.9
10500,20.99999999999924,-53227.95491641469,14966.47353618944,-38261.48138022525,281.3022376749711,47.836392463820054,1.3249888823325005,58.9
11000,21.999999999998685,-52991.92210369869,14942.46785630423,-38049.45424739446,280.8510391042263,47.930541397200116,1.3223862351189366,58.8
11500,22.99999999999813,-53363.10352545028,15380.363790638574,-37982.73973481171,289.0815087535506,47.85782956529406,1.3243953760790725,58.8
12000,23.999999999997577,-53309.40147927146,15411.748428029354,-37897.6530512421,289.6713984630601,47.59796894621656,1.3316258989343686,58.8
12500,24.999999999997023,-53123.07970088411,15473.209902736873,-37649.869798147236,290.82659713589527,47.942077266777375,1.3220680412481494,58.7
13000,25.99999999999647,-53194.80930802221,15274.31892534806,-37920.49038267415,287.0883433075936,47.799699784721305,1.3260059889688978,58.7
13500,26.999999999995914,-53230.48198680724,15390.978684141844,-37839.50330266539,289.2810209023498,47.54704627856145,1.333052064141248,58.7
14000,27.99999999999536,-53116.31908864288,15312.0309316311,-37804.288157011775,287.7971590302139,47.38913890831288,1.3374939837604298,58.6
14500,28.999999999994806,-52996.651829373346,15365.520476289039,-37631.1313530843,288.8025213534165,47.623824772467366,1.3309029354168767,58.6
15000,29.99999999999425,-53327.154772634676,15727.656929983092,-37599.49784265159,295.6090542699042,47.39767317096559,1.3372531591758,58.6
15500,30.999999999993697,-52928.109266943975,15286.61768301276,-37641.491583931216,287.31950451222457,47.74235827602651,1.3275986037179683,58.6
16000,31.999999999993143,-52978.170433435014,15166.540827563716,-37811.6296058713,285.06260090369483,47.93493075275026,1.3222651454820182,58.5
16500,32.999999999994365,-52971.757532587486,15247.960290309742,-37723.797242277746,286.59291978645433,47.886260512868404,1.323609058352407,58.5
17000,33.99999999999559,-53053.76168426577,15353.520890269028,-37700.240793996745,288.5769832271211,47.744730234533655,1.3275326486107408,58.5
17500,34.99999999999681,-52974.67270805405,15242.601135236246,-37732.071572817804,286.49219182869086,48.17051051207393,1.3157985562467502,58.5
18000,35.99999999999803,-53171.38489480961,15593.201363951153,-37578.183530858456,293.08189571774545,47.629322063250264,1.3307493249911375,58.5
18500,36.999999999999254,-52493.15556690093,15056.034258747062,-37437.12130815387,282.9855755435964,47.842009296324925,1.3248333236356078,58.5
19000,38.000000000000476,-52961.39967637826,15458.516725392676,-37502.882950985586,290.55043163468457,47.69492293318581,1.3289189768530802,58.4
19500,39.0000000000017,-52695.44997213835,15404.72250369204,-37290.727468446305,289.5393427564808,47.8847536061613,1.3236507115972793,58.4
