#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-53116.44594745605,15798.831576369623,-37317.61437108643,296.9468167859601,47.768372457652305,1.326875606692397,0
1000,2.0000000000000013,-53324.22203715621,16095.168856828765,-37229.05318032744,302.51662185046666,47.768372457652305,1.326875606692397,72.3
1500,2.999999999999891,-52895.29134889793,15526.520460798765,-37368.77088809917,291.82859531791524,47.768372457652305,1.326875606692397,72
2000,3.999999999999781,-53108.89182856243,15587.703956466776,-37521.18787209566,292.97856923786173,47.768372457652305,1.326875606692397,71.7
2500,4.999999999999671,-53192.31486752883,15722.590405474253,-37469.72446205458,295.51382644765704,47.768372457652305,1.326875606692397,71.9
3000,5.999999999999561,-53105.175411232965,15577.895079087164,-37527.280332145805,292.79420655888515,47.768372457652305,1.326875606692397,72
3500,6.999999999999451,-53385.80260069317,15922.40051230913,-37463.40208838404,299.26935576635833,47.768372457652305,1.326875606692397,72.2
4000,7.999999999999341,-53258.670601454935,15989.82190868473,-37268.8486927702,300.5365741008422,47.768372457652305,1.326875606692397,72.2
4500,8.999999999999675,-53082.341244362346,15773.220101482462,-37309.121142879885,296.46543650766716,47.768372457652305,1.326875606692397,72.2
5000,10.000000000000009,-53316.20642054437,15761.331348652227,-37554.87507189214,296.2419815457335,47.768372457652305,1.326875606692397,72.2
5500,11.000000000000343,-53117.87900737572,15541.779130276558,-37576.09987709916,292.1153895221522,47.768372457652305,1.326875606692397,72.3
6000,12.000000000000677,-53352.66310477694,15781.855671624471,-37570.80743315247,296.62774629952776,47.768372457652305,1.326875606692397,72.3
6500,13.00000000000101,-53485.067867837875,15734.014334221523,-37751.05353361635,295.7285448121319,47.768372457652305,1.326875606692397,72.3
7000,14.000000000001345,-53380.26488597547,15668.174984914618,-37712.089901060855,294.4910618311001,47.768372457652305,1.326875606692397,72.3
7500,15.000000000001679,-53366.13993190188,15736.111122815062,-37630.02880908682,295.76795498593583,47.768372457652305,1.326875606692397,72.3
8000,16.00000000000201,-53063.142301045315,15616.234459160416,-37446.907841884895,293.5148140807305,47.768372457652305,1.326875606692397,72.3
8500,17.000000000001457,-53116.11593330337,15443.001968336488,-37673.113964966884,290.25882413834717,47.768372457652305,1.326875606692397,72.4
9000,18.000000000000902,-53008.3404743427,15430.0714948097,-37578.268979533,290.0157895231128,47.768372457652305,1.326875606692397,72.4
9500,19.000000000000348,-53503.33262506728,15874.219758277424,-37629.11286678986,298.3637747763399,47.768372457652305,1.326875606692397,72.4
10000,19.999999999999794,-53226.31228374242,15641.305772073829,-37585.006511668595,293.9860417488207,47.768372457652305,1.326875606692397,72.4
10500,20.99999999999924,-53521.5927338728,16056.564882840763,-37465.027851032035,301.79104115574165,47.768372457652305,1.326875606692397,72.4
11000,21.999999999998685,-53539.193597898586,16000.761751032895,-37538.43184686569,300.7421938231441,47.768372457652305,1.326875606692397,72.4
11500,22.99999999999813,-53251.83473385783,15708.56598284124,-37543.26875101659,295.25023052045174,47.768372457652305,1.326875606692397,72.3
12000,23.999999999997577,-53284.55678899883,15609.02620052106,-37675.53058847777,293.37933131118643,47.768372457652305,1.326875606692397,72.3
12500,24.999999999997023,-53100.57077908774,15250.8132533402,-37849.75752574754,286.6465426310431,47.768372457652305,1.326875606692397,72.4
