#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
50	0.02	-0.005543545187036558	-626.4121101035289
100	0.02	-0.006798201961392803	-768.1864027201141
150	0.02	-0.009119978717431467	-1030.5436177998358
200	0.02	-0.0050595390924140895	-571.7201631984285
250	0.02	-0.004992954294009795	-564.1961830265361
300	0.02	-0.004675174413302355	-528.2875435357108
350	0.02	-0.004351218593264305	-491.6810323657651
400	0.02	-0.0036865249248572945	-416.5716665445993
450	0.02	-0.00204486332686775	-231.0664219806426
500	0.02	-0.004012149527404973	-453.366747580559
550	0.02	-0.00713273143437397	-805.9877204674626
600	0.02	-0.0060015938474160665	-678.1709067215116
650	0.02	-0.00611296317818693	-690.7554704140987
700	0.02	-0.005462389795958151	-617.2416752903372
750	0.02	-0.007221933563196841	-816.0674243133572
800	0.02	-0.007349330784850879	-830.4631151114136
850	0.02	-0.008866394096926696	-1001.8889443263228
900	0.02	-0.010195385631901846	-1152.0629509674673
950	0.02	-0.011731208838735623	-1325.6086195386306
1000	0.02	-0.012182005468307758	-1376.5479477898352
1050	0.02	-0.008299589744394048	-937.840921173896
1100	0.02	-0.005979648502164602	-675.6911163415099
1150	0.02	-0.0025865425398593914	-292.27534287169823
1200	0.02	-0.003333626248832835	-376.6946570059801
1250	0.02	-0.003901178890226517	-440.8272356528768
1300	0.02	-0.004024607769614941	-454.77450985679627
1350	0.02	-0.0023491624117147787	-265.45175219989517
1400	0.02	-0.00037774397505318494	-42.68449025098565
1450	0.02	-0.0011206940980060761	-126.63671550007476
1500	0.02	-0.0028393030300606662	-320.8368908839772
1550	0.02	-0.003207130089644608	-362.4007848855928
1600	0.02	-0.003909833728847508	-441.8052191526521
1650	0.02	-0.000756317167302969	-85.4626807743296
1700	0.02	-0.0017611366366510253	-199.00574082538375
1750	0.02	0.0019551901571294565	220.93349123322236
1800	0.02	0.004519934079117003	510.74562369394124
1850	0.02	0.005197066575789477	587.260558045369
1900	0.02	0.005143349125965656	581.1905685425849
1950	0.02	0.006120592359606277	691.6175562220094
2000	0.02	0.0068453898400825134	773.5185606919575
2050	0.02	0.007579221347648096	856.440396377461
2100	0.02	0.00831240780477211	939.2893423516712
2150	0.02	0.008798105391902308	994.1724253177654
2200	0.02	0.006512677726994767	735.9226018272814
2250	0.02	0.005647265531292087	638.1323500427119
2300	0.02	0.007090328142612419	801.1962134856485
2350	0.02	0.009328824633734047	1054.1428862649925
2400	0.02	0.007537185448421962	851.6904041890836
2450	0.02	0.006066291968673744	685.4816952673559
2500	0.02	0.0019019935461038466	214.92235571639932
2550	0.02	0.0002651391271255043	29.960315013230844
2600	0.02	0.001963650111076786	221.88945306355396
2650	0.02	0.0033759293074734887	381.4748377987502
2700	0.02	0.008015227001180123	905.7083670047682
2750	0.02	0.010069644953455833	1137.854447013101
2800	0.02	0.015140569573113473	1710.861157340603
2850	0.02	0.016687070090947113	1885.6133456907155
2900	0.02	0.014703357566473035	1661.4568706609018
2950	0.02	0.012074250842817926	1364.3718402541117
3000	0.02	0.008663914128704549	979.0090182378096
3050	0.02	0.009591522027443148	1083.827289144368
3100	0.02	0.008438203950486563	953.504114022362
3150	0.02	0.012107784942473766	1368.161142120895
3200	0.02	0.012191287559040314	1377.5968098168914
3250	0.02	0.013129579302862918	1483.6223388438925
3300	0.02	0.012224694837137617	1381.3717810419269
3350	0.02	0.014607065613940016	1650.5760276016172
3400	0.02	0.012677645181920386	1432.5544758111512
3450	0.02	0.014068240861465065	1589.6896563742043
3500	0.02	0.012027655461888562	1359.1066336211254
3550	0.02	0.015243642985434404	1722.508294962664
3600	0.02	0.016920305531683763	1911.9685930375626
3650	0.02	0.02046266288974363	2312.249545485116
3700	0.02	0.02461285011030668	2781.2143408361126
3750	0.02	0.02479719689606896	2802.0452450975567
3800	0.02	0.028891268031822778	3264.669008868564
3850	0.02	0.025037184274560545	2829.1634510626996
3900	0.02	0.026860005317340816	3035.1394352432308
3950	0.02	0.023517336672923467	2657.4230013945667
4000	0.02	0.020843115448359116	2355.2401015274695
4050	0.02	0.01565937714370206	1769.4856176931696
4100	0.02	0.014676657764864064	1658.439833999176
4150	0.02	0.012387730088198956	1399.7945145442013
4200	0.02	0.0075538606352829425	853.5746747480001
4250	0.02	0.008399021337457275	949.0765388012845
4300	0.02	0.00932044756754657	1053.1962906244905
4350	0.02	0.007088920093439675	801.0371060871029
4400	0.02	0.004258595007710911	481.2147091530425
4450	0.02	0.0029285400115201584	330.9205330243947
4500	0.02	0.005563751745441965	628.6954202347895
4550	0.02	0.008718784303073775	985.2092638475598
4600	0.02	0.010669970006423219	1205.690257940862
4650	0.02	0.011488501518845777	1298.1830643640646
4700	0.02	0.012337793815420202	1394.1517922524822
4750	0.02	0.010477557924597394	1183.9479875851007
4800	0.02	0.007496875587317797	847.1354516631641
4850	0.02	0.010054058969075514	1136.0932546651884
4900	0.02	0.006931242693378999	783.2198015364663
4950	0.02	0.004166773375253433	470.83900541108613
5000	0.02	0.008591878859086893	970.8691431721937
5050	0.02	0.009937562224799234	1122.9293011047582
5100	0.02	0.010984252150062995	1241.2036585036694
5150	0.02	0.008899871380522733	1005.671826065425
5200	0.02	0.008561207889961106	967.4033706672752
5250	0.02	0.005893534412325682	665.9603561680764
5300	0.02	0.007398083394843994	835.9720853224362
5350	0.02	0.011023559841315119	1245.6453673722328
5400	0.02	0.00920509779405292	1040.1619430046512
5450	0.02	0.007989551143573847	902.8070344460514
5500	0.02	0.007643137185092132	863.6627880512912
5550	0.02	0.010286122240106272	1162.3160486317354
5600	0.02	0.010943589217981529	1236.6088094984316
5650	0.02	0.008093790526799519	914.5859249933817
5700	0.02	0.00877496927451689	991.5580795116027
5750	0.02	0.009408230694719846	1063.1156494587412
5800	0.02	0.012348428879660277	1395.3535382123218
5850	0.02	0.006820097296486159	770.6605420288954
5900	0.02	0.0056619326162182055	639.789708160604
5950	0.02	0.004019914829770499	454.24421484676907
6000	0.02	-0.0003133332680714805	-35.406179077835745
6050	0.02	-0.004657086283589514	-526.2436126000088
6100	0.02	-0.004052573082955751	-457.93454740469764
6150	0.02	-0.004694348262910068	-530.4541591555604
6200	0.02	-0.010253850802479062	-1158.6694256390329
6250	0.02	-0.013719599184430243	-1550.2936811971417
6300	0.02	-0.01628622510607256	-1840.3184767344987
6350	0.02	-0.017778084487039776	-2008.896300361655
6400	0.02	-0.017390590955906948	-1965.1101252158294
6450	0.02	-0.017260480940081546	-1950.4078928340339
6500	0.02	-0.01670843416324681	-1888.0274531180264
6550	0.02	-0.014476759160798928	-1635.8515981042092
6600	0.02	-0.01780669383485387	-2012.1291128179905
6650	0.02	-0.017481003057912167	-1975.3265541769251
6700	0.02	-0.01734027037271989	-1959.4239764369654
6750	0.02	-0.015788889508564313	-1784.120316432088
6800	0.02	-0.017138950286138262	-1936.6751151961973
6850	0.02	-0.017773281367763367	-2008.3535552446765
6900	0.02	-0.019225162678404368	-2172.4139181953196
6950	0.02	-0.018711786176149187	-2114.4031602407786
7000	0.02	-0.015434584370721816	-1744.0843788635723
