#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-66887.73438087461,7620.717924232638,-59267.01645664197,181.9116189071696,47.13482830321693,1.1426107544279251,0
1000,2.0000000000000013,-66591.01575545939,8334.112754433416,-58256.903001025974,198.9408292482539,44.48176886498441,1.2107603429809848,50.5
1500,2.999999999999891,-66510.1554195443,8834.085151590618,-57676.070267953684,210.8755037867979,43.20348010829382,1.2465838768629771,50.5
2000,3.999999999999781,-66329.48372565639,9202.943800120565,-57126.53992553583,219.68040570930935,42.351378598593946,1.2716649022886222,50.5
2500,4.999999999999671,-66134.09319951273,9520.000954017461,-56614.09224549527,227.2487714098797,41.37568968846458,1.301652301940589,50.4
3000,5.999999999999561,-66197.26155185253,9924.655298152276,-56272.60625370025,236.90814045768437,40.0964302385057,1.3431809616719768,50.3
3500,6.999999999999451,-66302.78121831859,10333.016011231482,-55969.765207087104,246.65598300387134,40.463040637770916,1.3310112358955029,49.9
4000,7.999999999999341,-66048.82614427022,10380.734665650332,-55668.091478619885,247.79505910716105,40.20046009650837,1.339705107804156,49.8
4500,8.999999999999675,-66083.97825060051,10714.990012520917,-55368.9882380796,255.77395714303452,40.065039602465,1.3442333331440381,49.7
5000,10.000000000000009,-66032.8942343272,10906.30035459462,-55126.59387973259,260.34066258815386,39.42205708948057,1.3661580775738014,49.5
5500,11.000000000000343,-65686.90325249443,10841.394522822304,-54845.50872967213,258.7913170997618,39.341261172158596,1.368963783130656,49.3
6000,12.000000000000677,-65628.17386885546,11082.662054354289,-54545.51181450117,264.55053397238197,39.1555426919174,1.375456909156483,49.2
6500,13.00000000000101,-65756.05100354936,11269.211084982813,-54486.83991856655,269.00358373811196,38.82576151035365,1.3871398687958112,49.1
7000,14.000000000001345,-65820.93521292131,11509.683860356616,-54311.251352564694,274.74382925123444,38.64182580401666,1.393742676666464,49
7500,15.000000000001679,-65427.82802474832,11346.066174531814,-54081.761850216506,270.83816597827825,38.604025529156495,1.3951074010841946,49
8000,16.00000000000201,-65388.8918558004,11437.267458015285,-53951.62439778511,273.0152014347586,38.891408955702744,1.3847984213868978,48.9
8500,17.000000000001457,-65418.644033266435,11604.03607660788,-53814.607956658554,276.99607957415594,38.73357966379764,1.3904411158183414,48.8
9000,18.000000000000902,-65484.02622619932,11776.780099588812,-53707.24612661051,281.11959460114247,38.713180432560826,1.3911737843701328,48.7
9500,19.000000000000348,-65402.72615119608,11697.819212679964,-53704.90693851612,279.2347455736959,38.59548395821795,1.3954161524615876,48.6
10000,19.999999999999794,-65250.59934024083,11673.812701274179,-53576.786638966645,278.66169413713067,38.40199660431761,1.4024469165573075,48.5
10500,20.99999999999924,-65472.57565757301,12044.282271005432,-53428.29338656758,287.5050498229981,38.63557022823939,1.3939683408116132,48.4
11000,21.999999999998685,-65203.85098256483,11893.489723921837,-53310.361258642995,283.90553116454123,38.523284583032904,1.3980314064676083,48.2
11500,22.99999999999813,-65174.61399303016,12042.865169097997,-53131.74882393216,287.47122265543976,38.195437266163616,1.410031291226499,48
12000,23.999999999997577,-65317.14866736631,12019.582737836288,-53297.56592953002,286.91545549478366,37.913791665605295,1.4205058202138956,48
12500,24.999999999997023,-65173.364525718236,11777.321408760337,-53396.043116957895,281.13251601205155,38.31829695294036,1.4055103177866235,47.9
13000,25.99999999999647,-65380.54521050386,12066.597085988753,-53313.948124515104,288.03771933781144,38.01523845619557,1.416715083595433,47.9
13500,26.999999999995914,-65191.172330625224,11958.117566099234,-53233.054764525994,285.44824085591864,38.165153463507465,1.4111501419446895,47.8
14000,27.99999999999536,-65569.36307970867,12304.953672409312,-53264.409407299354,293.72745000938943,38.2226438718996,1.4090276409938156,47.7
14500,28.999999999994806,-65096.44921884429,11973.12662149538,-53123.32259734891,285.80651701736775,38.35036029547781,1.4043352216881282,36.7
