#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-66115.51821185809,7620.694786384349,-58494.82342547373,181.91106659130094,46.75624977028313,1.1518623070064777,0
1000,2.0000000000000013,-65924.92261887365,8363.317403770685,-57561.605215102965,199.6379637037447,43.93817005817122,1.2257397532957484,47.8
1500,2.999999999999891,-65768.9751743991,8877.69002412225,-56891.285150276846,211.91638117306707,42.14836115344758,1.2777901738882707,47.7
2000,3.999999999999781,-65948.19220708999,9503.898710519541,-56444.29349657045,226.86440011942292,40.984780782526656,1.3140673366814875,47.4
2500,4.999999999999671,-65687.0919774158,9715.165578196604,-55971.92639921919,231.90748113917493,40.401492826018234,1.3330389042626192,47.3
3000,5.999999999999561,-65836.07942072066,10247.179357626086,-55588.90006309458,244.6070048401108,39.68150887044186,1.3572256514541583,47.1
3500,6.999999999999451,-65672.99407825,10534.11566722819,-55138.87841102181,251.45636590056802,39.28697744290075,1.3708553121869511,47
4000,7.999999999999341,-65365.18557751655,10636.251817268538,-54728.933760248015,253.89442391393507,39.35162789825911,1.3686031456338306,46.9
4500,8.999999999999675,-65532.96891864802,11040.661789170208,-54492.307129477806,263.5479596335692,38.90275623103876,1.3843944991331882,23
5000,10.000000000000009,-65561.59458754996,11174.127107970207,-54387.467479579755,266.7338657978252,39.00091400016153,1.380910245517486,46.7
5500,11.000000000000343,-65606.13741968636,11283.434473803429,-54322.702945882935,269.34310551446276,38.95579940410225,1.3825094735881103,46.8
6000,12.000000000000677,-65451.94041555441,11401.529881169477,-54050.41053438494,272.162121643002,38.97005764863447,1.3820036452847428,46.9
6500,13.00000000000101,-65243.51721412213,11410.35934543364,-53833.15786868849,272.3728868431243,38.93471701662244,1.3832580754183033,46.9
7000,14.000000000001345,-65358.34080818828,11670.457149774396,-53687.883658413884,278.5815948851021,38.38337156559331,1.4031274359349504,46.9
7500,15.000000000001679,-65156.10091137097,11661.945693480648,-53494.15521789032,278.3784207473047,38.75380414560772,1.3897154850918925,46.9
8000,16.00000000000201,-65226.8650671627,11675.335165898709,-53551.52990126399,278.6980363830097,37.960242420380496,1.4187675919175435,46.9
8500,17.000000000001457,-65501.11803081575,12030.97570351403,-53470.14232730172,287.18741318317956,38.17228158207806,1.4108866301734306,46.9
9000,18.000000000000902,-65252.76127511058,11979.92100018766,-53272.84027492291,285.96870336774435,38.296879345594306,1.4062963522787693,46.9
9500,19.000000000000348,-65476.11291479221,12336.544712449298,-53139.56820234291,294.48154920237505,38.169840970367915,1.4109768434502938,46.9
10000,19.999999999999794,-65281.5032691882,12053.894827921122,-53227.608441267075,287.7345079669363,38.02893601713243,1.4162048000266532,47
10500,20.99999999999924,-65124.62288943808,12058.897150366556,-53065.725739071524,287.8539167396257,38.32968154623099,1.4050928563653886,47
11000,21.999999999998685,-65087.12224956321,12103.844312498408,-52983.277937064806,288.9268354737896,38.04516694805856,1.4156006149453293,46.9
11500,22.99999999999813,-65267.699374109565,12143.190810607444,-53124.508563502124,289.86606262279383,38.25790369001475,1.4077290319862963,34
12000,23.999999999997577,-65139.59092283652,11879.49741510991,-53260.09350772661,283.57152542209894,38.2144971729807,1.4093280223885418,34.4
12500,24.999999999997023,-65154.988499603554,11917.567127770279,-53237.421371833276,284.48027485098896,38.24806591232559,1.4080911137003103,34.8
13000,25.99999999999647,-65329.07678093302,12205.80975593609,-53123.26702499693,291.3608186067113,37.76760621236819,1.426004111156304,35.2
13500,26.999999999995914,-65049.58218986986,12062.153044730214,-52987.42914513965,287.9316371093562,38.015252333656164,1.4167145664238625,35.5
14000,27.99999999999536,-64909.826175839116,12140.706736548287,-52769.11943929083,289.8067661184383,38.25120580221036,1.4079755290814202,35.8
14500,28.999999999994806,-65056.17954190259,12242.0245401356,-52814.15500176699,292.2252896562378,38.349618055689824,1.404362401971272,36.1
15000,29.99999999999425,-65370.320396256124,12391.404885871372,-52978.91551038475,295.7910981267623,38.24790600210457,1.4080970007719111,36.4
15500,30.999999999993697,-65158.39603656627,12089.366759633329,-53069.02927693294,288.58124663220207,37.740125095113044,1.4270424804273716,36.7
16000,31.999999999993143,-65191.34097760787,12080.570113639656,-53110.77086396821,288.371264826082,38.005032664146846,1.4170955253033306,37
16500,32.999999999994365,-65180.127843347036,12151.696178681805,-53028.43166466523,290.06909143073443,38.18174093137922,1.4105370895518248,37.2
17000,33.99999999999559,-65016.915522264615,12039.743170778056,-52977.17235148656,287.39669847356447,38.193297231847026,1.4101102976378168,37.5
17500,34.99999999999681,-65064.85055836583,12127.812407371857,-52937.038150993976,289.498969882109,38.418262921797414,1.4018531196217265,37.7
18000,35.99999999999803,-65112.13768687017,12177.725964160674,-52934.4117227095,290.6904397686923,38.35615774149695,1.4041229596128864,37.9
18500,36.999999999999254,-65207.17391506996,12342.208822120188,-52864.96509294977,294.6167552774645,38.25872832511261,1.407698689556768,38.1
19000,38.000000000000476,-65232.973309262095,12139.0609551825,-53093.9123540796,289.76748021970883,38.40707248183097,1.4022615692161162,38.3
19500,39.0000000000017,-65272.1922697004,12122.932752752367,-53149.259516948034,289.38248927222884,37.7094708370586,1.4282025319337608,38.5
20000,40.00000000000292,-65666.5769602465,12600.906557507347,-53065.67040273915,300.7920427398509,37.85955701530057,1.4225407261263976,38.7
20500,41.00000000000414,-65190.69630578325,12337.275411564528,-52853.42089421872,294.49899147753956,38.242141500401516,1.4083092529429597,38.9
21000,42.000000000005365,-65401.553089847264,12569.598793216674,-52831.95429663059,300.0447055279104,37.75865567572432,1.4263421396645444,39
21500,43.00000000000659,-65354.6753417912,12520.40562887223,-52834.26971291897,298.87043188938503,37.777733265031166,1.4256218431512342,39.2
22000,44.00000000000781,-65407.30116431949,12311.400563435142,-53095.90060088435,293.8813415974375,38.10331769738209,1.4134402194344795,39.3
22500,45.00000000000903,-65305.53865104862,12360.55513423237,-52944.98351681625,295.05469398225387,37.83751683588522,1.4233693495523336,39.5
23000,46.00000000001025,-65311.744750000835,12353.371600686301,-52958.37314931453,294.8832182460002,37.660946567535206,1.4300427003551595,39.6
23500,47.000000000011475,-65418.08435903784,12402.86451278329,-53015.21984625455,296.0646470632727,38.08922135607843,1.4139633158653355,39.8
24000,48.0000000000127,-65490.408247121944,12564.16335238265,-52926.2448947393,299.9149579304502,37.94993658361291,1.419152878126948,39.9
24500,49.00000000001392,-65221.37469253471,12188.5165920765,-53032.85810045821,290.9480192530281,37.96228674214445,1.4186911893160392,40
25000,50.00000000001514,-65317.06242342491,12309.105679974804,-53007.95674345011,293.82656119884206,38.00217308118083,1.417202158737601,40.1
25500,51.000000000016364,-65361.7451118364,12380.485455083588,-52981.25965675281,295.5304440319776,37.99275356758212,1.4175535245574697,40.2
26000,52.000000000017586,-65358.86267337128,12394.482334500368,-52964.38033887091,295.8645588778058,37.672326585106546,1.4296107145307362,40.4
26500,53.00000000001881,-65164.36247459758,12115.70934800888,-53048.6531265887,289.2100617839037,37.84866485096489,1.4229501077366653,40.4
27000,54.00000000002003,-65455.26470308339,12314.52131656869,-53140.7433865147,293.9558360558832,37.75910760807677,1.4263250680174793,40.5
27500,55.00000000002125,-65459.59453214349,12254.068884466156,-53205.525647677336,292.5127961874636,37.598141482679424,1.4324314873962576,40.6
28000,56.000000000022474,-65314.01278194702,12179.973176397114,-53134.03960554991,290.74408222338263,37.5232383149717,1.4352908796222068,40.7
28500,57.0000000000237,-65671.4505505119,12488.699734610615,-53182.75081590129,298.1135910495359,37.65504208640726,1.4302669375268247,40.8
29000,58.00000000002492,-65542.79720571324,12265.88490756714,-53276.912298146104,292.7948525386782,37.7336060280897,1.4272890241997356,40.8
29500,59.00000000002614,-65236.48660752436,12020.915981469157,-53215.5706260552,286.94728090940526,37.588969511950296,1.432781010669826,40.8
30000,60.00000000002736,-65746.74033086497,12455.310307698646,-53291.43002316632,297.3165631626192,37.38044398085816,1.4407737306423776,46.2
30500,61.000000000028585,-65216.09578249838,12098.80740886737,-53117.28837363101,288.8066012251386,37.389241543254556,1.4404347214442434,46.6
