#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-66506.10138174746,12652.428188499991,-53853.673193247465,302.02189843006175,37.511277782407085,1.4357485244778416,0
1000,2.0000000000000013,-66221.69832860661,12315.857891445452,-53905.840437161154,293.9877409895181,37.511277782407085,1.4357485244778416,57.9
1500,2.999999999999891,-66405.84084222799,12386.522359767136,-54019.318482460854,295.6745489726263,37.511277782407085,1.4357485244778416,58.1
2000,3.999999999999781,-66529.69796207752,12417.452582654503,-54112.245379423024,296.41287401949745,37.511277782407085,1.4357485244778416,58
2500,4.999999999999671,-66430.2483897618,12332.599809949555,-54097.64857981224,294.3873817489548,37.511277782407085,1.4357485244778416,58
3000,5.999999999999561,-66537.44002510868,12299.924705439562,-54237.51531966912,293.60740521413607,37.511277782407085,1.4357485244778416,58
3500,6.999999999999451,-66674.2590799828,12476.673563687633,-54197.58551629517,297.82651832966815,37.511277782407085,1.4357485244778416,58.1
4000,7.999999999999341,-66551.3321339922,12472.023573029554,-54079.30856096264,297.7155199517037,37.511277782407085,1.4357485244778416,58.1
4500,8.999999999999675,-66596.34299036082,12425.647614779977,-54170.69537558084,296.60849490138327,37.511277782407085,1.4357485244778416,58.1
5000,10.000000000000009,-66566.731810973,12268.719551240014,-54298.01225973298,292.8625173734988,37.511277782407085,1.4357485244778416,58.2
5500,11.000000000000343,-66455.26685782327,12235.770002682155,-54219.496855141115,292.075989676238,37.511277782407085,1.4357485244778416,58.2
6000,12.000000000000677,-66632.53203155677,12237.347493225892,-54395.184538330876,292.11364542750385,37.511277782407085,1.4357485244778416,58.2
6500,13.00000000000101,-66615.74246125504,12327.252017526702,-54288.49044372834,294.2597263775196,37.511277782407085,1.4357485244778416,58.1
7000,14.000000000001345,-66685.41616180392,12416.640589842964,-54268.775571960956,296.3934912095894,37.511277782407085,1.4357485244778416,58.1
7500,15.000000000001679,-66528.69848583355,12182.897207705751,-54345.801278127794,290.81388080067916,37.511277782407085,1.4357485244778416,58.1
8000,16.00000000000201,-66302.40120132026,11992.985668627152,-54309.41553269311,286.2805657158778,37.511277782407085,1.4357485244778416,58.3
8500,17.000000000001457,-66634.87845507932,12205.58283947776,-54429.29561560156,291.3554019595264,37.511277782407085,1.4357485244778416,58.2
9000,18.000000000000902,-66538.89591047696,12034.36158588799,-54504.53432458897,287.2682364534016,37.511277782407085,1.4357485244778416,58.2
9500,19.000000000000348,-66528.00645172398,12015.331716258886,-54512.674735465094,286.81398077483686,37.511277782407085,1.4357485244778416,58.1
10000,19.999999999999794,-66471.8509029864,12077.876840309,-54393.97406267741,288.3069745956063,37.511277782407085,1.4357485244778416,58.1
10500,20.99999999999924,-66481.94402708007,12095.024621549495,-54386.91940553057,288.71630356921986,37.511277782407085,1.4357485244778416,58.1
11000,21.999999999998685,-66508.83436954489,12165.99615455054,-54342.83821499435,290.41044139099773,37.511277782407085,1.4357485244778416,39
11500,22.99999999999813,-66547.85658045262,12373.678408077838,-54174.17817237478,295.3679552805103,37.511277782407085,1.4357485244778416,58.1
12000,23.999999999997577,-66576.40558099432,12323.549366026946,-54252.85621496738,294.1713416170198,37.511277782407085,1.4357485244778416,58.1
12500,24.999999999997023,-66566.94299981442,12297.86874876296,-54269.07425105146,293.5583281572023,37.511277782407085,1.4357485244778416,58
13000,25.99999999999647,-66430.15979494606,12162.345846976288,-54267.81394796977,290.3233061149066,37.511277782407085,1.4357485244778416,58
13500,26.999999999995914,-66606.94259502126,12398.13156110622,-54208.811033915044,295.9516683504604,37.511277782407085,1.4357485244778416,58
14000,27.99999999999536,-66375.97810718963,11946.700323346138,-54429.27778384349,285.1757036575443,37.511277782407085,1.4357485244778416,58
14500,28.999999999994806,-66791.55440766615,12499.294161367856,-54292.26024629829,298.36648708137494,37.511277782407085,1.4357485244778416,58
15000,29.99999999999425,-66550.75720813267,12381.937483572494,-54168.81972456017,295.56510492032726,37.511277782407085,1.4357485244778416,58
15500,30.999999999993697,-66586.46946853094,12488.033819449247,-54098.435649081686,298.09769521055273,37.511277782407085,1.4357485244778416,58
16000,31.999999999993143,-66672.37888351154,12537.277491881623,-54135.10139162992,299.27317451081956,37.511277782407085,1.4357485244778416,58
16500,32.999999999994365,-66435.47541376203,12464.967663824229,-53970.5077499378,297.54709069357295,37.511277782407085,1.4357485244778416,58
17000,33.99999999999559,-66495.42143656443,12483.045552557513,-54012.37588400692,297.9786219533035,37.511277782407085,1.4357485244778416,58.1
17500,34.99999999999681,-66615.4057543325,12632.897679042055,-53982.50807529045,301.5556921449193,37.511277782407085,1.4357485244778416,58.1
18000,35.99999999999803,-66193.46851776355,12364.333626407672,-53829.13489135588,295.14488911025506,37.511277782407085,1.4357485244778416,58.1
18500,36.999999999999254,-66527.1316958716,12683.196387013595,-53843.93530885801,302.75635584708135,37.511277782407085,1.4357485244778416,58.1
