#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
50	0.02	0.007322698124004825	898.4237822759261
100	0.02	0.003244261248436415	398.0392762548273
150	0.02	0.005762715564754245	707.0291067843899
200	0.02	0.00407099257794801	499.4711631642381
250	0.02	0.007049915948269094	864.9560645150965
300	0.02	0.0034594409202403018	424.439727473375
350	0.02	0.0023439718100361114	287.58252538329054
400	0.02	-0.0042297161777116125	-518.9450038744812
450	0.02	-0.00714048232517319	-876.067677407955
500	0.02	-0.015385521066307074	-1887.653675544093
550	0.02	-0.01880447045353789	-2307.1254860529166
600	0.02	-0.019073594204179384	-2340.144350664992
650	0.02	-0.021376891577442613	-2622.736518572308
700	0.02	-0.02275250484756044	-2791.5108768975288
750	0.02	-0.021535435263246874	-2642.1882855909826
800	0.02	-0.016580361819666305	-2034.2490056631134
850	0.02	-0.01783317495606413	-2187.956982890492
900	0.02	-0.011401566734735805	-1398.861257999057
950	0.02	-0.009268545353264119	-1137.1602968553593
1000	0.02	-0.006049391860509915	-742.2014978293456
1050	0.02	-0.0024311579327069947	-298.27941398438844
1100	0.02	0.0022082494452171997	270.93071231177856
1150	0.02	0.0004647757148169145	57.0234561830388
1200	0.02	0.006172015734793879	757.246253610057
1250	0.02	0.0011420593761606763	140.11956889912116
1300	0.02	0.0057806896189186744	709.2343482748596
1350	0.02	0.003435399608226818	421.49009250218535
1400	0.02	0.0023995708666556233	294.4039884414668
1450	0.02	0.0008151435771035523	100.01018248158756
1500	0.02	0.006225389121393394	763.7946486209642
1550	0.02	0.008008981362857008	982.6240555523757
1600	0.02	0.005883570745734329	721.8568611127885
1650	0.02	0.012540362271241156	1538.58038554197
1700	0.02	0.013166437707778	1615.3937475238863
1750	0.02	0.015056984088828593	1847.3453863144546
1800	0.02	0.0185793167906428	2279.5013232121228
1850	0.02	0.017770324059788782	2180.245789694363
1900	0.02	0.018707366615740444	2295.2117903426556
1950	0.02	0.01970633042488067	2417.7749260292717
2000	0.02	0.016633287400067247	2040.742459212303
2050	0.02	0.013007574302669923	1595.902754058711
2100	0.02	0.00838212671150348	1028.4053577162135
2150	0.02	0.010292869484687307	1262.8348972342728
2200	0.02	0.007879421945551357	966.72837615196
2250	0.02	0.005438297484209083	667.2261661160293
2300	0.02	0.003927665447116818	481.886319326146
2350	0.02	0.003004828543497996	368.6632139443842
2400	0.02	-0.001513703265359298	-185.71665660358508
2450	0.02	0.006302284558522379	773.2289702733499
2500	0.02	0.002336373616113163	286.6503009481001
2550	0.02	0.005403803591122481	662.9941011903023
2600	0.02	0.00021771462801424712	26.711465670850494
2650	0.02	0.0017130852429524041	210.17888451376487
2700	0.02	-0.003926068692620396	-481.6904130918935
2750	0.02	0.0010420763268665673	127.85262196383405
2800	0.02	-0.010324365560793046	-1266.6991591965416
2850	0.02	-0.007449322825486824	-913.9594006106612
2900	0.02	-0.009929743198333304	-1218.2828364903635
2950	0.02	-0.011230537336364485	-1377.877615581595
3000	0.02	-0.015386673424194254	-1887.7950586400511
3050	0.02	-0.014376796313786388	-1763.8929671155797
3100	0.02	-0.015885293395079863	-1948.9708756101434
3150	0.02	-0.016966008546943464	-2081.5641052992555
3200	0.02	-0.01800762767978129	-2209.3606340059887
3250	0.02	-0.015442695802252751	-1894.6684591182727
3300	0.02	-0.015939842181080816	-1955.6634806865268
3350	0.02	-0.014090567626240277	-1728.7754932410166
3400	0.02	-0.016904526531830912	-2074.020860497412
3450	0.02	-0.018125944022784644	-2223.876897627136
3500	0.02	-0.015138876710467916	-1857.3928138647595
3550	0.02	-0.00968865707802682	-1188.7039162082415
3600	0.02	-0.01269766172007972	-1557.8794967960837
3650	0.02	-0.009249997133595806	-1134.8846108463645
3700	0.02	-0.008115815277518576	-995.7315369834273
3750	0.02	-0.0025277486816337054	-310.13015868450447
3800	0.02	-0.0036978641532854047	-453.69193740848647
3850	0.02	-0.009452318918851055	-1159.7075245412454
3900	0.02	-0.009948809680063059	-1220.6221082096476
3950	0.02	-0.011650582573180732	-1429.4130775106262
4000	0.02	-0.010898589691061587	-1337.1508706085938
4050	0.02	-0.013142178611705465	-1612.4173925685136
4100	0.02	-0.009685775555947254	-1188.3503814971834
4150	0.02	-0.008788205191388865	-1078.2272345191807
4200	0.02	-0.01237915877278416	-1518.8022854008382
4250	0.02	-0.01399499446413332	-1717.0495965387174
4300	0.02	-0.014418972599793491	-1769.0675868739224
4350	0.02	-0.011463866403044136	-1406.5048208891649
4400	0.02	-0.01169753541612347	-1435.1737343110121
4450	0.02	-0.008639108770105661	-1059.9345548996357
4500	0.02	-0.009441673573199007	-1158.4014442492019
4550	0.02	-0.00612205159534776	-751.1161400400068
4600	0.02	-0.004578901904973554	-561.7866937121431
4650	0.02	-0.004483440621089704	-550.0745233788209
4700	0.02	0.0003904163074205727	47.90028069369046
4750	0.02	0.0016197459737882466	198.72706473132234
4800	0.02	0.008453328924721198	1037.1411762112816
4850	0.02	0.008699410842364499	1067.3330321986336
4900	0.02	0.013772699620346907	1689.776182975439
4950	0.02	0.01564059372970475	1918.9486085215572
5000	0.02	0.017971016825615093	2204.868838561832
5050	0.02	0.020303918572848696	2491.093174992821
5100	0.02	0.02548665307259241	3126.964250509058
5150	0.02	0.026595527636055497	3263.0123659038823
5200	0.02	0.03423179885315081	4199.908514450213
5250	0.02	0.03868097173316066	4745.778719553221
5300	0.02	0.03946144689439239	4841.535424862102
5350	0.02	0.03900116038328339	4785.0627502770985
5400	0.02	0.03688766268178786	4525.757154627251
5450	0.02	0.035205577004223665	4319.3816150436405
5500	0.02	0.03177757709713747	3898.7993938443396
5550	0.02	0.032126324700442355	3941.587330137073
5600	0.02	0.025195382776661317	3091.228220359569
5650	0.02	0.02868426428843047	3519.2800218452653
5700	0.02	0.02558079535743835	3138.514592499276
5750	0.02	0.02523770690204224	3096.4209785700436
5800	0.02	0.022113068520702283	2713.058263725167
5850	0.02	0.01955951703855767	2399.7623525767817
5900	0.02	0.014149060333046444	1735.9519790109387
5950	0.02	0.00830198727265471	1018.5730286292123
6000	0.02	0.0034093679814840056	418.2962652869947
6050	0.02	-0.0030634717618944584	-375.85816602138846
6100	0.02	-0.007538388971496304	-924.8869497756693
6150	0.02	-0.007075161941331974	-868.0535021249453
6200	0.02	-0.007571720856020413	-928.9764475615152
6250	0.02	-0.007749829140726297	-950.8286004278992
6300	0.02	-0.007464242601675056	-915.789911923124
6350	0.02	-0.010342505548634565	-1268.9247591340277
6400	0.02	-0.011517079522534683	-1413.0335526858064
6450	0.02	-0.01173317808802078	-1439.5467432148516
6500	0.02	-0.014867067903303808	-1824.0445189531115
6550	0.02	-0.02079762929458138	-2551.6666748774055
6600	0.02	-0.020747675567633614	-2545.5378388195504
6650	0.02	-0.023345300465385414	-2864.2411290619643
6700	0.02	-0.022104967442854295	-2712.0643403273357
6750	0.02	-0.02139533024651438	-2624.9987637894474
6800	0.02	-0.020038787782262344	-2458.5642077129132
6850	0.02	-0.019036107599480857	-2335.5451091548816
6900	0.02	-0.023171569601530235	-2842.926043125105
6950	0.02	-0.02252954301864616	-2764.155630751349
7000	0.02	-0.024232291626798488	-2973.066310789682
7050	0.02	-0.025712272570219873	-3154.64556673718
7100	0.02	-0.025295222635754455	-3103.4775992509785
7150	0.02	-0.026534254898792495	-3255.4947974571146
7200	0.02	-0.02774931282375014	-3404.57057774174
7250	0.02	-0.03039805036406754	-3729.5448917076865
7300	0.02	-0.030926536899665145	-3794.385045453344
7350	0.02	-0.027353220606924387	-3355.9739182120925
7400	0.02	-0.026119444303398624	-3204.6015750777556
7450	0.02	-0.02164996365921401	-2656.239804981832
7500	0.02	-0.01919318331441298	-2354.816770436452
