#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,45.10484351535315,2349.5280741022457,2394.6329176175987,163.10722927057876,21.19037528192142,1.0425955387051156,0
1000,2.0000000000000013,-151.96833186687223,2791.525220350065,2639.556888483193,193.79123371582517,19.055466683052774,1.1594043378673642,25.3
1500,2.999999999999891,-0.3193300297024051,2869.4651109433007,2869.145780913598,199.2019201189541,18.247141679235906,1.210764464965976,25.3
2000,3.999999999999781,77.9404060037254,3089.9541386974006,3167.894544701126,214.50854905348027,17.039002483649377,1.296612918134078,25.4
2500,4.999999999999671,100.84535487307379,3328.966730036792,3429.8120849098655,231.10110734799878,16.277630995175674,1.3572608163292492,25.3
3000,5.999999999999561,149.21677345056275,3472.054107134897,3621.27088058546,241.0344151808852,16.053151340372665,1.376240107875638,25.3
3500,6.999999999999451,417.79827217267024,3388.3173076690537,3806.115579841724,235.22129998579285,15.8858115639534,1.390737303125877,25.3
4000,7.999999999999341,354.7239405728304,3533.856151647209,3888.5800922200397,245.3247917696016,15.717990002403809,1.4055862568330724,25.3
4500,8.999999999999675,373.6591747050851,3644.125316905926,4017.784491611011,252.9798175671551,15.5515700929624,1.4206276665541462,25.3
5000,10.000000000000009,426.747515954554,3667.470253719881,4094.2177696744347,254.6004527930933,15.36765500345847,1.4376292757383233,25.3
5500,11.000000000000343,382.5446299311939,3849.8636157838737,4232.408245715068,267.26243212908,15.459305407126386,1.4291062988013716,25.3
6000,12.000000000000677,439.747295786897,3789.226017117279,4228.973312904176,263.05289285302405,15.319670418271937,1.442132247575501,25.3
6500,13.00000000000101,653.1390384624588,3740.3249126604196,4393.463951122878,259.6581159426536,15.049558974013875,1.4680158249531738,25.3
7000,14.000000000001345,567.6118018527488,3875.4696106066876,4443.081412459436,269.0400328797592,15.050022215896641,1.46797063921159,25.3
7500,15.000000000001679,497.39412724310654,3964.2155381708108,4461.609665413917,275.20088812281165,14.705340650307924,1.5023787110947209,25.3
8000,16.00000000000201,485.16413353255,3992.410086793073,4477.574220325623,277.15818957283534,14.777646217204085,1.4950277200910276,25.3
8500,17.000000000001457,433.806362954466,4027.2289389477955,4461.035301902261,279.5753586051776,14.62895805443855,1.5102231239028827,25.3
9000,18.000000000000902,464.39395478971267,4041.2234634737015,4505.617418263414,280.5468763093242,14.752575466072082,1.4975683929377481,25.3
9500,19.000000000000348,571.1549542925769,4031.2860615972677,4602.4410158898445,279.8570092232147,14.80892773915023,1.4918697100541167,25.3
10000,19.999999999999794,492.6491226440071,4135.204929622221,4627.854052266228,287.0711893044473,14.87270191421329,1.4854725698028663,25.3
10500,20.99999999999924,603.1099582500105,4123.641569960442,4726.751528210452,286.26844615943816,14.624421670936227,1.5106915835396635,25.3
11000,21.999999999998685,591.2717531808966,4144.010062357876,4735.281815538773,287.68245282570615,14.417219104534725,1.5324030641574555,25.3
11500,22.99999999999813,525.5090199557073,4144.498794212195,4670.007814167902,287.71638121306734,14.558592458583378,1.517522438743242,25.3
12000,23.999999999997577,637.6586847516128,4032.9820370205025,4670.640721772115,279.97474599565163,14.593659938313689,1.51387594515727,25.3
12500,24.999999999997023,499.8612629228087,4207.644181398429,4707.5054443212375,292.1000143599494,14.723246088564268,1.500551617457398,25.3
13000,25.99999999999647,678.2012311567812,4080.3845640006502,4758.585795157432,283.2654897502714,14.598034225964437,1.5134223136100933,25.3
13500,26.999999999995914,558.4078315322306,4130.7086482050245,4689.116479737255,286.7590517258146,14.708827299523605,1.5020225802184775,25.3
14000,27.99999999999536,584.9273201615504,4163.823128204454,4748.750448366005,289.05790107389345,14.550614595171561,1.5183544714152282,25.3
14500,28.999999999994806,516.9824878564815,4182.031805593501,4699.014293449983,290.3219706333704,14.75684038522041,1.4971355761593432,25.3
15000,29.99999999999425,605.1465897395186,4084.19328150142,4689.339871240939,283.52989576672746,14.985666243754599,1.4742748419094052,25.3
15500,30.999999999993697,437.13778434407226,4253.049536150864,4690.187320494936,295.2521118766165,14.47680527671874,1.5260957310759615,25.3
16000,31.999999999993143,456.77178151400386,4188.8682235433225,4645.640005057327,290.79656346851124,14.62313326249218,1.510824686873788,25.3
16500,32.999999999994365,587.73504352304,4103.724240044037,4691.459283567077,284.8857597668212,14.51021434299519,1.522581969513346,25.3
17000,33.99999999999559,634.1903615421627,4186.526919486241,4820.717281028404,290.63402716096937,14.424795145302026,1.5315982313699499,25.3
17500,34.99999999999681,731.849026436665,4050.0893865640664,4781.938413000731,281.16235997437803,14.687601530430472,1.504193226283074,25.3
18000,35.99999999999803,617.9662696152513,4301.213035327942,4919.179304943193,298.595683289676,14.590361480660865,1.5142181886104804,25.3
18500,36.999999999999254,668.6802042329917,4303.706074036175,4972.386278269167,298.7687532098214,14.86378966276379,1.4863632514771759,25.3
19000,38.000000000000476,658.3209650187624,4229.205916413257,4887.52688143202,293.5968574474187,14.678744721712453,1.5051008210353976,25.3
19500,39.0000000000017,681.9706090051798,4271.723709676616,4953.694318681795,296.54849677036464,14.697001549199667,1.5032311630681912,25.3
20000,40.00000000000292,541.9334524142356,4343.397338621434,4885.33079103567,301.52417131446384,14.652770640354081,1.5077688223395649,25.3
20500,41.00000000000414,674.4012101811304,4186.756759376953,4861.157969558083,290.64998293871173,14.962342184878992,1.4765730164055262,25.3
21000,42.000000000005365,720.8326662935211,4313.435614107748,5034.268280401269,299.4441902648809,14.6932570563497,1.5036142529658476,25.3
21500,43.00000000000659,731.5427686276294,4260.330656256674,4991.873424884303,295.7575765014215,14.741978183065907,1.4986449211949462,25.3
22000,44.00000000000781,595.8670037341384,4307.369825586233,4903.236829320371,299.0230955054733,14.717187615453536,1.5011693340934276,25.3
22500,45.00000000000903,569.011652664923,4368.821645506095,4937.833298171017,303.2891590572327,15.103274334715904,1.4627947717029928,25.3
23000,46.00000000001025,671.9388905720551,4277.735945549067,4949.674836121122,296.9658738367151,14.659135711234804,1.507114141489685,25.3
23500,47.000000000011475,668.8634245048189,4326.435450531648,4995.298875036467,300.346655454995,14.743872437198831,1.4984523792187556,25.3
24000,48.0000000000127,611.8377643045649,4446.307581778969,5058.145346083534,308.6683313736709,14.66435221549758,1.5065780204781296,25.3
24500,49.00000000001392,716.3156538856788,4318.7766430021165,5035.092296887795,299.81497128853283,14.715074591459727,1.5013848958156595,25.3
25000,50.00000000001514,735.2482977577112,4393.688444057338,5128.936741815049,305.015443861926,14.658617415521215,1.5071674296530415,25.3
25500,51.000000000016364,726.3254519951516,4386.888595040345,5113.214047035496,304.54338968864533,14.744192343865228,1.4984198671018345,25.3
26000,52.000000000017586,762.3623359823937,4332.315080486644,5094.677416469038,300.75482684978124,14.579745239262834,1.5153207665743456,25.3
26500,53.00000000001881,551.8620336859877,4532.006626007795,5083.868659693782,314.6176680976603,14.498832030788854,1.52377727292123,25.3
27000,54.00000000002003,644.8462161429387,4480.615953931747,5125.462170074686,311.0500622345638,14.546812547396454,1.5187513182310552,25.3
27500,55.00000000002125,682.4553313054457,4527.201336977831,5209.656668283276,314.28407881725934,14.536896946952778,1.5197872567329131,25.3
28000,56.000000000022474,683.8869028650184,4622.05152028351,5305.938423148529,320.86869926309384,14.799863185657872,1.492783443689406,25.3
28500,57.0000000000237,801.4106185701036,4413.696451295731,5215.107069865835,306.40442518964517,14.808710129275596,1.491891632664374,25.3
29000,58.00000000002492,800.6216782141412,4385.902395546969,5186.52407376111,304.4749264646279,14.77518676855917,1.4952765794765561,25.3
29500,59.00000000002614,774.6332249322525,4394.98553037069,5169.618755302942,305.10548924466804,14.422485411229236,1.5318435139630642,25.3
30000,60.00000000002736,755.5463656100063,4526.392004193774,5281.93836980378,314.22789390531017,14.402204737237861,1.5340006016784027,25.3
30500,61.000000000028585,733.9624670134968,4567.021090588056,5300.983557601553,317.04841679354956,14.811180832689823,1.49164276515056,25.3
31000,62.00000000002981,1019.8248874807229,4283.327931852051,5303.152819332774,297.3540766430796,14.67260242986187,1.5057308911645069,25.3
31500,63.00000000003103,918.6329180051055,4312.872102496801,5231.505020501906,299.4050705716385,14.808446715909838,1.4919181705048272,25.3
32000,64.00000000003224,946.61207416601,4339.489289378828,5286.101363544838,301.2528695620649,14.774184639167503,1.4953780037274071,25.3
32500,65.00000000002991,699.3731644188779,4667.671953298617,5367.045117717495,324.0357277864969,14.60940116285211,1.5122447858160761,25.3
33000,66.00000000002758,986.8331997312981,4306.375164868992,5293.20836460029,298.9540448925261,14.676052947062987,1.5053768756564574,25.3
33500,67.00000000002525,930.0487485624514,4352.947682822509,5282.9964313849605,302.18716836412153,14.740710419627664,1.4987738109963136,25.3
34000,68.00000000002292,993.7645289450998,4289.477617564412,5283.242146509512,297.7809956522561,14.60899140121953,1.5122872021523772,25.3
