#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
50	0.02	0.03313521072041312	7207.121670166883
100	0.02	0.03912521344483355	8509.985828894976
150	0.02	0.044681588021350374	9718.53307357293
200	0.02	0.031742835374494335	6904.271067729178
250	0.02	0.039259903200524825	8539.281717947346
300	0.02	0.03214294938633578	6991.298441407638
350	0.02	0.034281566446934975	7456.46142140757
400	0.02	0.027422634534610944	5964.599569777451
450	0.02	0.009492761560920332	2064.736757907153
500	0.02	-0.005680912860706895	-1235.6351233193525
550	0.02	-0.007112130723736015	-1546.9342233130799
600	0.02	-0.020511915195318853	-4461.473619352458
650	0.02	-0.02317561902960258	-5040.8463533591275
700	0.02	-0.018740799032935695	-4076.244450840463
750	0.02	-0.03327374870956334	-7237.254574773124
800	0.02	-0.028000431764667263	-6090.274187417226
850	0.02	-0.017768638003708634	-3864.7931678004024
900	0.02	-0.01675595777220883	-3644.52869738629
950	0.02	-0.014739276076707497	-3205.887444366507
1000	0.02	-0.011286783099730708	-2454.9479932665517
1050	0.02	-0.007275102446075362	-1582.3816222026464
1100	0.02	-0.009234162492736021	-2008.489795607078
1150	0.02	-0.010691199691883644	-2325.4047674423678
1200	0.02	0.0038415566991243082	835.5633156235554
1250	0.02	-0.005094041905501925	-1107.986912039272
1300	0.02	-0.0004949397071996865	-107.65257294674112
1350	0.02	0.004873742169557588	1060.0703010886634
1400	0.02	-0.0029854666470931364	-649.3582174375605
1450	0.02	-0.0011910250795709632	-259.0556231290236
1500	0.02	-0.0038949095163193686	-847.1678968714447
1550	0.02	-0.006214221727824281	-1351.6332355850454
1600	0.02	0.0009391203508275786	204.26472275833416
1650	0.02	0.0053122588466633465	1155.4505017146844
1700	0.02	0.012439962305090698	2705.771895086971
1750	0.02	0.02300828354798571	5004.449808730975
1800	0.02	0.02417148856260782	5257.454388616298
1850	0.02	0.03338490932888917	7261.432725175491
1900	0.02	0.028585807299557165	6217.597135150631
1950	0.02	0.030956080811107116	6733.146884734394
2000	0.02	0.021986188179901216	4782.137485491066
2050	0.02	0.02372641654001044	5160.648358139767
2100	0.02	0.017973389882605894	3909.3280197396048
2150	0.02	0.013298003695007691	2892.4014218266693
2200	0.02	0.023006406500152093	5004.041538741936
2250	0.02	0.01813503663336007	3944.4872287786707
2300	0.02	-0.004797060585917147	-1043.3915629384553
2350	0.02	-0.008298392394389833	-1804.9537743337867
2400	0.02	-0.021139135430862634	-4597.898058891932
2450	0.02	-0.022516128066144194	-4897.402822725654
2500	0.02	-0.027210783782797274	-5918.520667273389
2550	0.02	-0.030275184061638413	-6585.047457824188
2600	0.02	-0.026779479581569454	-5824.709226587785
2650	0.02	-0.03880318156424509	-8439.94182148977
2700	0.02	-0.03044779651412875	-6622.5917775926855
2750	0.02	-0.033520672613548144	-7290.962113690168
2800	0.02	-0.03165682062618494	-6885.562306172619
2850	0.02	-0.027218096672209834	-5920.111267804091
2900	0.02	-0.014759969116702092	-3210.3883137958605
2950	0.02	-0.02019534110961882	-4392.616717475072
3000	0.02	-0.01649456442276294	-3587.673960921059
3050	0.02	-0.013250868706166917	-2882.1492582788414
3100	0.02	-0.01873796986734096	-4075.629089108246
3150	0.02	-0.007559934691237192	-1644.3344693956014
3200	0.02	-0.013790194180638917	-2999.4560213816208
3250	0.02	-0.014935729717689961	-3248.617376131681
3300	0.02	0.0003221678825750601	70.07358871292992
3350	0.02	-0.011343380773197036	-2467.258351645197
3400	0.02	-0.009903152915486857	-2153.9995197981884
3450	0.02	-0.008452291252369275	-1838.4277668101427
3500	0.02	-0.015661313216008287	-3406.436458628836
3550	0.02	-0.004304208888504398	-936.1931455638619
3600	0.02	-0.01415834876749027	-3079.532014356463
3650	0.02	-0.007217304919648692	-1569.8102880799672
3700	0.02	-0.014192540870862828	-3086.969016983193
3750	0.02	-0.013973491149457236	-3039.3242922428826
3800	0.02	-0.013209623242165939	-2873.1781043029164
3850	0.02	-0.01673530613060359	-3640.036832373162
3900	0.02	-0.01257456540704424	-2735.04893639347
3950	0.02	-0.009473552986044038	-2060.5587691986443
4000	0.02	-0.01031692119745984	-2243.9967851422143
4050	0.02	-0.018509251553803105	-4025.8813833286895
4100	0.02	-0.009179423299379425	-1996.5836686179798
4150	0.02	-0.001351620085953964	-293.98607099578413
4200	0.02	-0.0030270710454091076	-658.4074419379668
4250	0.02	0.003042340103982266	661.7285604862749
4300	0.02	0.006166311752920175	1341.212507578755
4350	0.02	-0.004755013820688835	-1034.24612078647
4400	0.02	-0.0042684130612566425	-928.4073226688255
4450	0.02	-0.007653587841926705	-1664.7046326490972
4500	0.02	-0.009921505495022692	-2157.991324008889
4550	0.02	-0.009868374241884558	-2146.434934369904
4600	0.02	-0.006395413624585821	-1391.0436397206147
4650	0.02	-0.0014240529075097209	-309.74067603724905
4700	0.02	0.005405957146425297	1175.8304851821242
4750	0.02	0.005015202981915751	1090.8389385610017
4800	0.02	0.0036501486249697498	793.9308271289407
4850	0.02	0.0051625889605902255	1122.8963378558603
4900	0.02	0.004336747707346535	943.2705481606812
4950	0.02	0.010510851894847578	2286.177960431759
5000	0.02	0.008428100910152735	1833.1662116304083
5050	0.02	0.009290286372809002	2020.6971008721887
5100	0.02	0.004400264089180689	957.0857701548937
5150	0.02	-0.002378592725008887	-517.3592320736905
5200	0.02	-0.004259503992600745	-926.4695428758221
5250	0.02	-0.012401292730251956	-2697.3610135884946
5300	0.02	-0.013894818335618018	-3022.21244870406
5350	0.02	-0.011085609902317	-2411.191527591085
5400	0.02	-0.011654957446564498	-2535.0282841647977
5450	0.02	-0.01175631528944004	-2557.074267574815
5500	0.02	0.0016321062801273798	354.9936241170475
5550	0.02	-0.004127669045584197	-897.7945930906704
5600	0.02	-0.0030875144140796174	-671.5542637837308
5650	0.02	0.006930013829202668	1507.3226262066162
5700	0.02	-0.002181533497357698	-474.49758130904644
5750	0.02	0.006774240410335128	1473.4409046678845
5800	0.02	0.010487351405549267	2281.0664527033036
5850	0.02	0.012141305883640026	2640.8122005453097
5900	0.02	0.005352783899658955	1164.264961658631
5950	0.02	0.013558918871051468	2949.1521524982586
6000	0.02	0.020138931042814726	4380.347164753353
6050	0.02	0.01176047231210925	2557.9784467700356
6100	0.02	0.013863387978183045	3015.3761436000414
6150	0.02	0.014978392409093771	3257.89678619243
6200	0.02	0.010096367456265411	2196.0249264143176
6250	0.02	0.012157935677483588	2644.429287775919
6300	0.02	0.01564630803267472	3403.17273464408
6350	0.02	0.013991849443450466	3043.3173393848588
6400	0.02	0.018111709573634588	3939.413443098918
6450	0.02	0.013899927810606361	3023.3237924109812
6500	0.02	0.014715669741451422	3200.752914460757
6550	0.02	0.01024516229745447	2228.3887623769497
6600	0.02	0.009147175219487557	1989.569503614744
6650	0.02	0.011135942183036932	2422.1391227081454
6700	0.02	0.020536624213961293	4466.847989994282
6750	0.02	0.022579091184657174	4911.097706385369
6800	0.02	0.01264218811575528	2749.7573109216714
6850	0.02	0.004233653043830582	920.8467950789886
6900	0.02	0.007914371608924501	1721.426781007118
6950	0.02	-0.00347601214794791	-756.0550222125272
7000	0.02	0.0025300686091993914	550.306212150824
7050	0.02	0.003397236420491245	738.9207942993086
7100	0.02	0.0021425266727099265	466.0133458057495
7150	0.02	0.00627917107674051	1365.7601371456562
7200	0.02	0.007286745403037937	1584.9140403042793
7250	0.02	-0.007223108645599536	-1571.0726358411139
7300	0.02	0.0014038695075615983	305.3506565992817
7350	0.02	2.276831714776608e-05	4.952255571678201
7400	0.02	0.005213743259298239	1134.0227271778267
7450	0.02	0.0068681278012598535	1493.8620166806763
7500	0.02	0.008721396917838069	1896.9599816655016
7550	0.02	0.00763931161080328	1661.5994604633481
