#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-3936.5999032116765,2526.904196882084,-1409.6957063295927,175.42090546975848,18.26811710622338,1.0981766738252943,0
1000,2.0000000000000013,-3972.511828640467,2913.7256930613557,-1058.786135579111,202.274546062331,16.50970478941013,1.2151410541048278,19.1
1500,2.999999999999891,-3854.9696251125606,3099.90927327636,-755.0603518362004,215.19964716636844,15.41803637663881,1.3011786709207944,19.1
2000,3.999999999999781,-3882.930528039811,3291.921173202724,-591.0093548370874,228.52935764277362,14.729673006736538,1.3619867916679667,19.1
2500,4.999999999999671,-3794.3516908014285,3328.035387914655,-466.3163028867734,231.03645239251253,14.528376166858918,1.3808576987789227,19
3000,5.999999999999561,-3810.53641297278,3506.3262888076106,-304.2101241651694,243.41363365259048,14.0330219355283,1.429600849548454,19.1
3500,6.999999999999451,-3691.052440912234,3541.2693725973436,-149.78306831489044,245.83942700315123,13.963864698368821,1.4366810703276747,19
4000,7.999999999999341,-3558.9412747276338,3637.741192847459,78.79991811982518,252.53662354961003,14.026919238608295,1.4302228265166657,19
4500,8.999999999999675,-3579.0641486222426,3742.1488359844816,163.08468736223904,259.78473502121193,14.316917201776572,1.4012527835443458,19
5000,10.000000000000009,-3660.3769334677577,3822.2458136993146,161.8688802315569,265.3451691577589,14.190705940834471,1.4137154391336533,19
5500,11.000000000000343,-3619.4173848665396,3800.029087667169,180.61170280062925,263.80285576022635,14.03887600346976,1.429004720591951,19
6000,12.000000000000677,-3458.9831356281074,3724.8654172624238,265.8822816343163,258.584898096022,14.203690638271336,1.4124230519853784,19
6500,13.00000000000101,-3551.2150701394544,3832.756270531563,281.54120039210875,266.0748184482579,13.981903131597893,1.4348275690328465,19
7000,14.000000000001345,-3577.4777953240955,3898.957561368268,321.4797660441727,270.6705963159629,14.047081161581552,1.4281700126878616,19
7500,15.000000000001679,-3591.8458400739305,3920.872473697397,329.0266336234663,272.1919574220981,13.887716781201938,1.444558554644364,19
8000,16.00000000000201,-3567.99625390081,3885.998024131096,318.00177023028573,269.77092874668233,14.24701284204731,1.4081281671590375,19
8500,17.000000000001457,-3546.957549018209,3942.747002971081,395.789453952872,273.71051508512664,13.888385725591796,1.4444889764111521,19
9000,18.000000000000902,-3538.576257657059,3944.7261929579936,406.14993530093443,273.847912973036,13.917358232384913,1.4414819066797522,19
9500,19.000000000000348,-3613.5495663890833,4097.42091653993,483.8713501508464,284.4481750265988,13.956661922492438,1.4374225149376307,19.1
10000,19.999999999999794,-3563.0765582163626,4047.9427538304444,484.8661956140818,281.0133379978791,13.918930017833889,1.4413191283424103,19.1
10500,20.99999999999924,-3572.6918068640475,4014.856924508012,442.16511764396455,278.7164776162626,14.010486244664527,1.4319003445296705,19.1
11000,21.999999999998685,-3476.274153172719,3941.4019396056665,465.1277864329477,273.61713907436757,13.646494011288159,1.4700933488241525,19
11500,22.99999999999813,-3491.052212517648,3935.790798422188,444.73858590453983,273.2276065118197,14.06895981872205,1.425949063701686,19
12000,23.999999999997577,-3419.721588469804,3928.279381169768,508.557792699964,272.70615436598587,14.054150050973739,1.4274516785434053,19
12500,24.999999999997023,-3476.765390160442,4058.0345326448564,581.2691424844143,281.7139221275066,13.907949791280537,1.4424570394509764,19
13000,25.99999999999647,-3458.254782503713,4031.6996824036305,573.4448998999173,279.8857233060291,13.861930246132573,1.4472457821204567,19
13500,26.999999999995914,-3578.223826767081,4144.929972885712,566.7061461186313,287.7463141853664,13.78026693461907,1.4558223128729195,19
14000,27.99999999999536,-3487.2280331693482,4054.336813400857,567.1087802315087,281.4572217513088,13.735343374604437,1.4605838043958694,19
14500,28.999999999994806,-3527.4929373659684,4105.179707026087,577.6867696601189,284.98680013716347,13.966601136327458,1.4363995853352325,19
15000,29.99999999999425,-3540.235686386355,4104.968321817461,564.7326354311062,284.97212550693973,13.896374048738013,1.44365861270014,19
15500,30.999999999993697,-3337.365382623886,4094.621570903876,757.25618827999,284.25384088967144,14.08226038871387,1.4246022674627998,19
16000,31.999999999993143,-3481.386458317837,4164.545946410502,683.1594880926655,289.10808003372557,13.7604333052012,1.45792066541832,19
16500,32.999999999994365,-3362.0178586240468,4160.286990013537,798.2691313894907,288.8124178600533,13.685804798186492,1.465870686934079,19
17000,33.99999999999559,-3470.9707966798946,4203.297918934015,732.3271222541202,291.7982912879558,13.838854417356739,1.4496590162551315,19
17500,34.99999999999681,-3418.3453247253983,4210.3264737806485,791.9811490552502,292.28622251101586,13.850667421061976,1.4484226262090956,19
18000,35.99999999999803,-3613.8120938599277,4372.855892567715,759.0437987077876,303.5692216228462,13.712720170084761,1.4629934711662205,19
18500,36.999999999999254,-3416.700230608537,4183.7816724758,767.0814418672635,290.4434486194861,13.791673340832734,1.4546182747359095,19.1
19000,38.000000000000476,-3475.0854304404056,4318.942650103782,843.8572196633768,299.8264957128163,13.912007105230805,1.4420363596005021,19.1
