#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
500,1.0000000000000007,-4013.3790960136057,2359.099874803746,-1654.2792212098598,163.77171585780476,18.595624657351802,1.078835502997312,0
1000,2.0000000000000013,-4073.176343109158,2685.119025956701,-1388.057317152457,186.40438027234813,17.301589324781897,1.1595246947647824,18.7
1500,2.999999999999891,-3963.2072564666087,2873.3948172179566,-1089.812439248652,199.47472533008198,16.613875279898593,1.2075220105351485,18.9
2000,3.999999999999781,-3816.2402500044636,3021.636359849098,-794.6038901553657,209.76584189424594,16.22553003172203,1.2364230962897051,18.9
2500,4.999999999999671,-3793.518204786198,3167.9450097012873,-625.5731950849108,219.922774581602,15.321066619566414,1.309414062278328,18.9
3000,5.999999999999561,-3653.001785694635,3156.129960895797,-496.87182479883813,219.10255885589865,15.24182954138733,1.3162212598092942,18.9
3500,6.999999999999451,-3715.62978003469,3381.9703341879463,-333.6594458467439,234.7806850086116,15.446532288284704,1.2987782439673479,18.9
4000,7.999999999999341,-3667.7614321193346,3384.6601973507213,-283.10123476861327,234.96741873289997,15.304438432528435,1.3108367333572908,18.9
4500,8.999999999999675,-3704.502740686924,3568.3447473045776,-136.15799338234638,247.71903397556295,14.93664030358753,1.343114627721529,18.9
5000,10.000000000000009,-3709.930605068499,3550.899803712965,-159.0308013555341,246.50798378834747,14.585402293008903,1.3754588099622946,19
5500,11.000000000000343,-3613.440568909532,3550.56361563641,-62.876953273122126,246.484645184189,14.100704214349136,1.4227388771369502,19
6000,12.000000000000677,-3535.968050836675,3609.4636009422666,73.49555010559152,250.57355712919184,14.578489302306627,1.376111040366108,14.6
6500,13.00000000000101,-3492.7906559092544,3763.5734980241796,270.7828421149252,261.2720623282878,14.192433001721097,1.4135434057240577,18.9
7000,14.000000000001345,-3491.8418664440865,3885.2674048009,393.4255383568134,269.72020822288295,14.110241915009622,1.4217771886265824,18.9
7500,15.000000000001679,-3495.7200730640443,3975.9908282854885,480.27075522144423,276.01834374959583,14.166413547357253,1.4161396611569232,19
8000,16.00000000000201,-3497.3574087137395,4000.3986167770854,503.04120806334595,277.7127634917425,14.309590902212971,1.4019702043096722,19
