#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
50	0.02	-0.00033223688300081935	-78.30213698435237
100	0.02	-0.0031849377216715555	-750.631379383433
150	0.02	0.002030873458765221	478.6396089735998
200	0.02	-0.013535858156936588	-3190.1533930614146
250	0.02	-0.010453314052570576	-2463.6543104180823
300	0.02	-0.009994115368701621	-2355.4296066387233
350	0.02	-0.010715439597462973	-2525.43249150947
400	0.02	-0.017551231083139735	-4136.503112186498
450	0.02	-0.012082471992848077	-2847.6169429125594
500	0.02	-0.013598878047570668	-3205.006024908302
550	0.02	-0.00929321175011774	-2190.239484881387
600	0.02	-0.008531529078231388	-2010.72485551826
650	0.02	-0.007187643565673551	-1693.9956996667383
700	0.02	-0.011999293740133895	-2828.013355016724
750	0.02	-0.005438283716382266	-1281.7036828475389
800	0.02	-0.007164913755399622	-1688.6387004629707
850	0.02	-0.0008302380621594585	-195.67187690197795
900	0.02	-0.0014403784558265733	-339.4707719948243
950	0.02	0.0017578719211112392	414.2981559559703
1000	0.02	-0.0002982298304788087	-70.2872987130519
1050	0.02	-0.0022343239334889236	-526.5891526770531
1100	0.02	0.004358819785461254	1027.2938418172275
1150	0.02	0.014159869190996311	3337.2213435772255
1200	0.02	0.010199688061008363	2403.879318085135
1250	0.02	0.006249471146671964	1472.88567538499
1300	0.02	0.0022854419631570125	538.6367342859589
1350	0.02	0.010823968802049418	2551.0108335874907
1400	0.02	0.01612159504620157	3799.564131207005
1450	0.02	0.032800330446658935	7730.436020735173
1500	0.02	0.02880839387081436	6789.609819347239
1550	0.02	0.03038328086186405	7160.781784946686
1600	0.02	0.03785724793639742	8922.258681794434
1650	0.02	0.04694771572094964	11064.715134216949
1700	0.02	0.04364969365554609	10287.431850042844
1750	0.02	0.05855684583943437	13800.774082869319
1800	0.02	0.05927763712067167	13970.651361787895
1850	0.02	0.07301464239350536	17208.211439142528
1900	0.02	0.07820896027968881	18432.416852432558
1950	0.02	0.07430999980931392	17513.50341305046
2000	0.02	0.06582244196840562	15513.14177132456
2050	0.02	0.06215059522320571	14647.754869571441
2100	0.02	0.05893130002658931	13889.02606378168
2150	0.02	0.03733048564456809	8798.110475368749
2200	0.02	0.02510531981689942	5916.863213931568
2250	0.02	0.013936062158331543	3284.4741326971653
2300	0.02	0.006493127867794155	1530.3110936051005
2350	0.02	-0.00212052911197594	-499.76980131022253
2400	0.02	-0.01151562784688083	-2714.022178943515
2450	0.02	-0.007435309464881944	-1752.366007595857
2500	0.02	-0.008043887052011558	-1895.7965778643363
2550	0.02	-0.009838491941953702	-2318.7520205467554
2600	0.02	-0.013333737538842793	-3142.517272163593
2650	0.02	-0.019106984428792554	-4503.165628656324
2700	0.02	-0.015028468698689457	-3541.9343092829686
2750	0.02	-0.03167816113222206	-7465.961304427244
2800	0.02	-0.02891784831658629	-6815.406223795082
2850	0.02	-0.033746011367200214	-7953.315661053522
2900	0.02	-0.043110865900862404	-10160.44003541608
2950	0.02	-0.033879032148867526	-7984.666218444388
3000	0.02	-0.03591931629534138	-8465.523753830681
3050	0.02	-0.04628165207976237	-10907.736155840204
3100	0.02	-0.034013703385806685	-8016.405757858006
3150	0.02	-0.034851676418650834	-8213.900625418491
3200	0.02	-0.03703441863000734	-8728.332912681264
3250	0.02	-0.02748733610368291	-6478.260744217869
3300	0.02	-0.028664261532824274	-6755.640472021202
3350	0.02	-0.023492943830992145	-5536.85578014379
3400	0.02	-0.004478396269260338	-1055.4758248950063
3450	0.02	-0.005730742179241154	-1350.6307761135604
3500	0.02	-0.0077634920896275045	-1829.7126303025468
3550	0.02	-0.0020546028990523074	-484.23220262888304
3600	0.02	-0.0016277190227249913	-383.6235060305875
3650	0.02	-0.0028510867468345353	-671.9488305708634
3700	0.02	-0.006459627028410704	-1522.4155604818643
3750	0.02	-0.01792427491555587	-4224.422698366048
3800	0.02	-0.013712018274290473	-3231.6711002937855
3850	0.02	-0.017080502335977233	-4025.560984058297
3900	0.02	-0.01665795301619935	-3925.9738629023027
3950	0.02	-0.014108892901334831	-3325.2071674870367
4000	0.02	-0.006573941862945966	-1549.3574693761323
4050	0.02	0.009011012650457381	2123.730335268363
4100	0.02	0.017382420094021876	4096.717459627452
4150	0.02	0.00359220244074725	846.6162006167823
4200	0.02	0.011434374063186394	2694.8721530828316
4250	0.02	0.02761109314231218	6507.428007358557
4300	0.02	0.02392133054287805	5637.818667507152
4350	0.02	0.037176802466462266	8761.890170279372
4400	0.02	0.0338501432780888	7977.857641694547
4450	0.02	0.033874738121330655	7983.6541949466655
4500	0.02	0.03758396059227446	8857.849869436433
4550	0.02	0.03153970902028507	7433.330682153326
4600	0.02	0.03641418253525952	8582.154646093495
4650	0.02	0.04084487351021545	9626.387208483255
4700	0.02	0.035427636764469674	8349.643910415993
4750	0.02	0.034432774908248295	8115.173225997247
4800	0.02	0.038422018604106836	9055.364764985135
4850	0.02	0.02406497604759309	5671.673277163347
4900	0.02	0.028379232987200947	6688.46447391327
4950	0.02	0.032291047881105046	7610.407465050571
5000	0.02	0.026866423018483396	6331.922923402986
5050	0.02	0.02380631684798304	5610.712050049742
5100	0.02	0.019730950610183998	4650.22300822124
5150	0.02	0.019209249641127676	4527.267662701048
5200	0.02	0.017030490294178066	4013.7740634959105
5250	0.02	0.022193477190415586	5230.595337359746
5300	0.02	0.009246959540617819	2179.338687801362
5350	0.02	-0.0008773962464957814	-206.78619562687095
5400	0.02	-8.648730987131627e-05	-20.38347194864345
5450	0.02	0.005721078994389478	1348.3533407574168
5500	0.02	0.013852921343798279	3264.8793682936052
5550	0.02	0.01089650254226073	2568.105705206544
5600	0.02	0.007409145250361694	1746.1995823304005
5650	0.02	0.0034509869855252062	813.3343090361992
5700	0.02	-0.010498236360815752	-2474.2416741752195
5750	0.02	-0.019621092645760133	-4624.33150183145
5800	0.02	-0.014518424570203378	-3421.726267189451
5850	0.02	-0.01522845133987642	-3589.0665482543873
5900	0.02	-0.020664174435333502	-4870.166739735652
5950	0.02	-0.023081121172953453	-5439.796736332191
6000	0.02	-0.02387721044836988	-5627.4203708077075
6050	0.02	-0.031544375263760464	-7434.430430117828
6100	0.02	-0.03588745186166498	-8458.013891505576
6150	0.02	-0.032816955062389	-7734.354137611452
6200	0.02	-0.016953881716547884	-3995.7188274679465
6250	0.02	-0.015488499174432506	-3650.3550511441913
6300	0.02	-0.0019070434669164423	-449.4551520977196
6350	0.02	-0.0017434835924941847	-410.9070909177587
6400	0.02	0.0065918557819489455	1553.5794513759286
6450	0.02	0.018701256146756575	4407.542917440577
6500	0.02	0.010567390542317414	2490.540045819197
6550	0.02	0.006750958246808654	1591.0769829126732
6600	0.02	-0.001895628526938087	-446.764860201828
